n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
4864,1,hot-cold,3.3,paper,0.75,0.9506924315664993,1.2532865297560078,3648,21
4864,1,hot-cold,3.3,paper,0.7999999999999999,0.961203846423035,1.3361683041714332,3888,22
4864,1,hot-cold,3.3,paper,0.85,0.9687683903582522,1.3982766840917233,4134,21
4864,1,hot-cold,3.3,paper,0.9,0.9787075829583974,1.489096923649562,4374,23
4864,1,hot-cold,3.3,paper,0.95,0.9853175736709788,1.5598174232601056,4620,23
4864,2,random,3.3,supported,0.05,0.06180210637488343,0.032339205180726756,54,2
4864,2,random,3.3,supported,0.1,0.11072646163010248,0.07315207116927207,183,3
4864,2,random,3.3,supported,0.15,0.15526657673553215,0.11827392700374517,288,5
4864,2,random,3.3,supported,0.2,0.2065363929274239,0.17495657763477387,435,7
4864,2,random,3.3,supported,0.25,0.2536470779088527,0.2303418427466563,621,8
4864,2,random,3.3,supported,0.3,0.31998796553641845,0.3123589592216551,843,11
4864,2,random,3.3,supported,0.35,0.35543203032682863,0.3569395861140851,978,12
4864,2,random,3.3,supported,0.39999999999999997,0.40703192101035757,0.42345613778483177,1170,14
4864,2,random,3.3,supported,0.44999999999999996,0.45735474523647046,0.4908287824618048,1349,16
4864,2,random,3.3,supported,0.49999999999999994,0.5045610242660828,0.5556311987148892,1531,18
4864,2,random,3.3,supported,0.5499999999999999,0.5534412186750817,0.6273727711135955,1780,19
4864,2,random,3.3,supported,0.6,0.6124786359096837,0.7189686832613735,2037,22
4864,2,random,3.3,supported,0.65,0.6576996867904868,0.7915217419690478,2268,23
4864,2,random,3.3,supported,0.7,0.7019399898013158,0.866421852729624,2486,24
4864,2,random,3.3,supported,0.75,0.7531719166087062,0.9545719821916868,2743,26
4864,2,random,3.3,supported,0.7999999999999999,0.8020618734414958,1.0441224189601666,3053,26
4864,2,random,3.3,supported,0.85,0.8604702380349252,1.1594103005523586,3410,28
4864,2,random,3.3,supported,0.9,0.9040417914432134,1.2538356389470955,3738,28
4864,2,random,3.3,supported,0.95,0.9506042170420459,1.3698275742299446,4104,29
4864,2,random,3.3,supported,0.99,0.9902844444574528,1.5163717486968948,4576,30
4864,2,random,3.3,paper,0.05,0.13759183943495285,0.11055042456204327,240,5
4864,2,random,3.3,paper,0.1,0.22130729607657876,0.21486298103057014,486,9
4864,2,random,3.3,paper,0.15,0.2895513219803999,0.3003920047703741,726,12
4864,2,random,3.3,paper,0.2,0.35193637258021115,0.38156139745245377,972,14
4864,2,random,3.3,paper,0.25,0.41171584984187926,0.46066490649055425,1212,16
4864,2,random,3.3,paper,0.3,0.48122679326475204,0.5594260136236271,1458,20
4864,2,random,3.3,paper,0.35,0.5388595458157653,0.6494852601167007,1698,23
4864,2,random,3.3,paper,0.39999999999999997,0.5919433748774361,0.7356657309787943,1944,26
4864,2,random,3.3,paper,0.44999999999999996,0.641316142829892,0.8287227801637415,2184,29
4864,2,random,3.3,paper,0.49999999999999994,0.6905312356606728,0.9147602069860029,2430,32
4864,2,random,3.3,paper,0.5499999999999999,0.732680999382187,0.9973570665959426,2670,34
4864,2,random,3.3,paper,0.6,0.7748177337700394,1.0960612921856139,2916,38
4864,2,random,3.3,paper,0.65,0.8149942626014286,1.1982547351795267,3162,42
4864,2,random,3.3,paper,0.7,0.8479340136376446,1.251542447627767,3402,42
4864,2,random,3.3,paper,0.75,0.8862822364355427,1.3595222785513739,3648,46
4864,2,random,3.3,paper,0.7999999999999999,0.9171821547252339,1.435958967801694,3888,46
4864,2,random,3.3,paper,0.85,0.9425972519809477,1.505203019984134,4134,45
4864,2,random,3.3,paper,0.9,0.9641131093860114,1.596919142119198,4374,47
4864,2,random,3.3,paper,0.95,0.9835526345436797,1.6829932110959298,4620,47
4864,2,local,3.3,supported,0.05,0.0899433461451031,0.017276796360068875,23,1
4864,2,local,3.3,supported,0.1,0.17747327059705814,0.038758567690569935,71,2
4864,2,local,3.3,supported,0.15,0.17747327059705814,0.038758567690569935,71,2
4864,2,local,3.3,supported,0.2,0.23839427187792722,0.05603536405063881,94,3
4864,2,local,3.3,supported,0.25,0.2523031141374148,0.062364449839311914,133,3
4864,2,local,3.3,supported,0.3,0.32609430121072774,0.10226745335619657,212,5
4864,2,local,3.3,supported,0.35,0.36112308907794854,0.12276795024988327,251,6
4864,2,local,3.3,supported,0.39999999999999997,0.4114841099809872,0.1577143167125214,302,8
4864,2,local,3.3,supported,0.44999999999999996,0.47494151832604964,0.2059272405947719,419,10
4864,2,local,3.3,supported,0.49999999999999994,0.5061286686049473,0.23041550500714536,484,11
4864,2,local,3.3,supported,0.5499999999999999,0.570973519976703,0.2907053231120123,659,13
