trial,target_cv,spatial_mode,budget_fraction,q,two_line_ms,gap_to_max_q_pct
0,1.44,local,0.125,131072,0.26141528161321015,0.0
0,1.44,local,0.25,1024,0.44856612569799564,0.07257695393305674
0,1.44,local,0.25,4096,0.4482408061745892,2.220446049250313e-14
0,1.44,local,0.25,16384,0.4482408061745892,2.220446049250313e-14
0,1.44,local,0.25,65536,0.4482408061745892,2.220446049250313e-14
0,1.44,local,0.25,131072,0.4482408061745892,2.220446049250313e-14
0,1.44,local,0.375,1024,0.6750539653711655,4.697807057394421
0,1.44,local,0.375,4096,0.6447641878507606,0.0
0,1.44,local,0.375,16384,0.6447641878507606,0.0
0,1.44,local,0.375,65536,0.6447641878507606,0.0
0,1.44,local,0.375,131072,0.6447641878507606,0.0
0,1.44,local,0.5,1024,0.8194655202155512,0.0
0,1.44,local,0.5,4096,0.8194655202155512,0.0
0,1.44,local,0.5,16384,0.8194655202155512,0.0
0,1.44,local,0.5,65536,0.8194655202155512,0.0
0,1.44,local,0.5,131072,0.8194655202155512,0.0
0,1.44,local,0.625,1024,0.9967399311163273,0.0
0,1.44,local,0.625,4096,0.9967399311163273,0.0
0,1.44,local,0.625,16384,0.9967399311163273,0.0
0,1.44,local,0.625,65536,0.9967399311163273,0.0
0,1.44,local,0.625,131072,0.9967399311163273,0.0
0,1.44,local,0.75,1024,1.1551858477705303,0.02816959411540143
0,1.44,local,0.75,4096,1.1548605282471238,0.0
0,1.44,local,0.75,16384,1.1548605282471238,0.0
0,1.44,local,0.75,65536,1.1548605282471238,0.0
0,1.44,local,0.75,131072,1.1548605282471238,0.0
0,1.44,local,0.875,1024,1.3002449267917828,0.15034488562504222
0,1.44,local,0.875,4096,1.29959428774497,0.10022992375002815
0,1.44,local,0.875,16384,1.2982930096513443,0.0
0,1.44,local,0.875,65536,1.2982930096513443,0.0
0,1.44,local,0.875,131072,1.2982930096513443,0.0
0,1.44,hot-cold,0.125,1024,0.21111892333294857,1.8839527076602858
0,1.44,hot-cold,0.125,4096,0.20721508905207142,0.0
0,1.44,hot-cold,0.125,16384,0.20721508905207142,0.0
0,1.44,hot-cold,0.125,65536,0.20721508905207142,0.0
0,1.44,hot-cold,0.125,131072,0.20721508905207142,0.0
0,1.44,hot-cold,0.25,1024,0.3864594607654113,0.0
0,1.44,hot-cold,0.25,4096,0.3864594607654113,0.0
0,1.44,hot-cold,0.25,16384,0.3864594607654113,0.0
0,1.44,hot-cold,0.25,65536,0.3864594607654113,0.0
0,1.44,hot-cold,0.25,131072,0.3864594607654113,0.0
0,1.44,hot-cold,0.375,1024,0.6010177529726659,0.0
0,1.44,hot-cold,0.375,4096,0.6010177529726659,0.0
0,1.44,hot-cold,0.375,16384,0.6010177529726659,0.0
0,1.44,hot-cold,0.375,65536,0.6010177529726659,0.0
0,1.44,hot-cold,0.375,131072,0.6010177529726659,0.0
0,1.44,hot-cold,0.5,1024,0.8006113471032246,0.0
0,1.44,hot-cold,0.5,4096,0.8006113471032246,0.0
0,1.44,hot-cold,0.5,16384,0.8006113471032246,0.0
0,1.44,hot-cold,0.5,65536,0.8006113471032246,0.0
0,1.44,hot-cold,0.5,131072,0.8006113471032246,0.0
0,1.44,hot-cold,0.625,1024,0.9887164592818287,2.220446049250313e-14
0,1.44,hot-cold,0.625,4096,0.9887164592818287,2.220446049250313e-14
