trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms
0,4.55,local,0.3,0.29999999999999993,0.3001430279568031,72,5,0.07262083276999912,8.926369,13040.576729
0,4.55,local,0.5,0.49999999999999994,0.5000004348285233,252,9,0.16066538527454877,8.533325,13040.576729
0,4.55,local,0.7,0.6999999999999998,0.7002026231178764,699,13,0.3140374348301028,8.427797,13040.576729
0,4.55,local,0.9,0.8999999999999999,0.9000520760632799,2021,15,0.6594959521566751,7.923294,13040.576729
0,4.55,local,0.95,0.9499999999999998,0.9500683797131717,2662,15,0.8163308795338056,7.316609,13040.576729
0,4.55,local,0.99,0.9899999999999999,0.9900103413326994,3932,8,1.0500584663056827,6.018111,13040.576729
0,4.55,hot-cold,0.1,0.09999999999999998,0.1027415246342672,49,1,0.022989827220534477,8.600109,13694.268259
0,4.55,hot-cold,0.3,0.29999999999999993,0.300439563159529,215,2,0.07460631045218324,12.95938,13694.268259
0,4.55,hot-cold,0.5,0.4999999999999999,0.5002977586156916,570,1,0.15046408176575285,12.375759,13694.268259
0,4.55,hot-cold,0.7,0.6999999999999998,0.7007636000953839,1027,1,0.26227931080061806,11.417046,13694.268259
0,4.55,hot-cold,0.9,0.8999999999999998,0.9000405325055751,2036,1,0.5091536348622789,15.296289,13694.268259
0,4.55,hot-cold,0.95,0.9499999999999997,0.9500459731711808,2717,1,0.6757754531833801,7.485726,13694.268259
0,4.55,hot-cold,0.99,0.9899999999999998,0.9900423712808712,3903,1,0.9659567696721113,6.165868,13694.268259
0,9.19,random,0.1,0.1,0.12206515905776871,29,1,0.01809638174854913,8.419051,14684.258851
0,9.19,random,0.3,0.3,0.3001383673873724,89,4,0.0657793756070163,8.363758,14684.258851
0,9.19,random,0.5,0.5,0.5000173854527337,240,11,0.1797310896196983,15.807265,14684.258851
0,9.19,random,0.7,0.7,0.700102043069865,834,18,0.4020726208368558,8.188119,14684.258851
0,9.19,random,0.9,0.9,0.9000536790333878,2550,16,0.799928470704858,8.336827,14684.258851
0,9.19,random,0.95,0.95,0.9500372957001487,3412,11,0.9558315414765748,12.442914,14684.258851
0,9.19,random,0.99,0.99,0.9900190725661239,4492,3,1.1320705104504205,7.700176,14684.258851
0,9.19,local,0.1,0.09999999999999999,0.12372691231768937,2,1,0.01149023036136891,17.92812,14879.720722
0,9.19,local,0.3,0.29999999999999993,0.3082905143304723,19,1,0.015649659012556456,14.964249,14879.720722
0,9.19,local,0.5,0.49999999999999994,0.5008576743046202,28,2,0.028852595289120236,9.0178,14879.720722
0,9.19,local,0.7,0.6999999999999998,0.7002164864003972,118,3,0.06187398572722468,12.710295,14879.720722
0,9.19,local,0.9,0.8999999999999999,0.9000015428314098,562,8,0.22551290427615128,12.663287,14879.720722
