trial,target_cv,spatial_mode,coverage_target,target_importance,q,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask
0,1.07,local,0.99,0.99,2048,0.9900332332370284,18643,1,18.256701672658743,2.369488,0.9900007161520626,17530,336,20.85271745834188,0.06945,1.0,18944,1,18.55128709007226,0.133259,127.5569,127.690159,9.244466142857144,True
0,1.07,local,0.1,0.1,4096,0.10004557712255345,1191,1,1.1766195972410805,5.546162,0.10001855856014721,291,83,1.1978720490456884,0.077965,0.10016006871510647,366,12,0.49021083831937406,1.24195,454.071096,455.313046,33.67559971428572,False
0,1.07,local,0.3,0.3,4096,0.30002560620369356,4851,1,4.758621682734356,4.821458,0.30000538223042217,1500,351,5.329344562369406,0.055183,0.30011043186433556,1821,45,2.277232702534666,0.998485,454.071096,455.069581,33.432134714285716,False
0,1.07,local,0.5,0.5,4096,0.5000367544333302,8761,1,8.585296041826899,4.109147,0.5000401717726972,3551,614,10.229868864104604,0.05899,0.5000061042819443,4174,70,4.855110287005468,0.809703,454.071096,454.880799,33.24335271428571,False
0,1.07,local,0.7,0.7,4096,0.7000226649601295,12567,1,12.310186735102146,3.504167,0.7000039005901426,6795,880,16.33097191289802,0.078427,0.7000375965376849,8252,71,8.857205299772376,0.660805,454.071096,454.731901,33.09445471428572,False
0,1.07,local,0.9,0.9,4096,0.9000920704386459,16479,1,16.138818472383484,2.746221,0.9000142875018472,12399,921,22.26658191628018,0.075321,1.0,18944,1,18.55128709007226,0.61558,454.071096,454.68667600000003,33.049229714285715,True
0,1.07,local,0.95,0.95,4096,0.9500372370182557,17660,1,17.29465029286642,2.521051,0.9500082672424445,14716,734,22.477038900748333,0.080771,1.0,18944,1,18.55128709007226,0.599671,454.071096,454.670767,33.033320714285715,True
0,1.07,local,0.99,0.99,4096,0.9900332332370284,18643,1,18.256701672658743,2.369488,0.9900007161520626,17530,336,20.85271745834188,0.06945,1.0,18944,1,18.55128709007226,0.610641,454.071096,454.681737,33.044290714285715,True
0,1.07,local,0.1,0.1,8192,0.10004557712255345,1191,1,1.1766195972410805,5.546162,0.10001855856014721,291,83,1.1978720490456884,0.077965,0.10012086007519168,363,12,0.48727477103618283,2.844855,1352.193599,1355.038454,99.43011207142857,False
0,1.07,local,0.3,0.3,8192,0.30002560620369356,4851,1,4.758621682734356,4.821458,0.30000538223042217,1500,351,5.329344562369406,0.055183,0.30008977035607776,1840,42,2.2628251378856987,2.449928,1352.193599,1354.643527,99.03518507142857,False
0,1.07,local,0.5,0.5,8192,0.5000367544333302,8761,1,8.585296041826899,4.109147,0.5000401717726972,3551,614,10.229868864104604,0.05899,0.5000567802650627,4106,70,4.788559428586444,2.121494,1352.193599,1354.315093,98.70675107142857,False
0,1.07,local,0.7,0.7,8192,0.7000226649601295,12567,1,12.310186735102146,3.504167,0.7000039005901426,6795,880,16.33097191289802,0.078427,0.7000893183041356,7548,89,8.366224121971689,2.096837,1352.193599,1354.290436,98.68209407142857,False
0,1.07,local,0.9,0.9,8192,0.9000920704386459,16479,1,16.138818472383484,2.746221,0.9000142875018472,12399,921,22.26658191628018,0.075321,0.9000462162922099,13486,60,13.858654275892752,1.592265,1352.193599,1353.785864,98.17752207142857,False
