method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_ms,nonselector_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,fallback_rate,cell_count,length_factor
c4_l3,C4 · 3s,4,0.3,189,0.4631185452894628,0.09720112962962961,0.3659174156598332,0.6097662036834413,0.21864357732591172,0.3527390745581773,0.3000093959533574,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,5,0.35,189,0.5237487168652422,0.09985533862433862,0.42389337824090356,0.5731953621580803,0.1913631675104615,0.40410791282300595,0.3501498457487061,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,6,0.4,189,0.5622185159050678,0.09909005820105819,0.46312845770400946,0.53591151943519,0.16595033552280805,0.4546150461075798,0.3998501542512938,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,7,0.45,189,0.5923473623458992,0.09808633333333332,0.49426102901256586,0.4977114139489396,0.14481371010422073,0.5026656911171302,0.4499906040466426,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,8,0.5,189,0.6390752856681571,0.10269098148148147,0.5363843041866756,0.4661336025252702,0.12828405729677309,0.54846995122849,0.5,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,9,0.55,189,0.6916525871993687,0.10162215608465608,0.5900304311147128,0.4315050485686808,0.11070151682253233,0.5988281545815645,0.5500093959533574,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,10,0.6,189,0.7369369838392028,0.10183361375661375,0.6351033700825891,0.3987767296897435,0.09394111141325932,0.6461121190792669,0.6001498457487062,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,11,0.65,189,0.794153394164597,0.10490737037037036,0.6892460237942265,0.36006367115905047,0.0784419320878528,0.6941128461449234,0.6498501542512938,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,12,0.7,189,0.8265286671464513,0.10727344179894177,0.7192552253475094,0.3261452713838369,0.06443572138983102,0.7397937159689646,0.6999906040466426,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,13,0.75,189,0.8469839918986941,0.1038949841269841,0.7430890077717099,0.2899781250316038,0.052373926790933716,0.7847541375134988,0.75,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,14,0.8,189,0.9014349770251225,0.1056449259259259,0.7957900510991965,0.2524258075577635,0.04053627120123964,0.8313068192471903,0.8000093959533574,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,15,0.85,189,0.9684829732855073,0.10890868518518518,0.8595742881003221,0.2189784855631096,0.03087696259614647,0.8738333958166616,0.8501498457487062,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,16,0.9,189,1.0376508468217758,0.10642654232804231,0.9312243044937335,0.17684322338743458,0.020714386430366914,0.9173100710545898,0.8998501542512938,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,17,0.95,189,1.0475708889465278,0.10355144973544972,0.9440194392110781,0.1198135268943453,0.009708655258965825,0.9599019418317805,0.9499906040466426,1.0,0.0,4.0,3.0
c4_l4,C4 · 4s,0,0.1,189,0.3062788967670189,0.08658729629629629,0.21969160047072264,0.7955070230124331,0.41251103335587436,0.1356955011764531,0.10014984574870615,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,1,0.15,189,0.34596782528631365,0.090113664021164,0.2558541612651496,0.7430573872256058,0.3422153178976957,0.19056129912850714,0.1498501542512938,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,2,0.2,189,0.3885692011464809,0.09066982539682539,0.29789937574965547,0.7053612811717564,0.29883295329159526,0.24365303440699498,0.19999060404664257,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,3,0.25,189,0.4333961480375115,0.0939376455026455,0.339458502534866,0.6529824577823833,0.2531176458590875,0.30010857058580587,0.25,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,4,0.3,189,0.4796777699708295,0.09508169312169311,0.3845960768491363,0.6175986030804259,0.22357858583409945,0.3510030172173939,0.3000093959533574,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,5,0.35,189,0.5232013252967107,0.09496601058201058,0.4282353147147001,0.5790311061634273,0.19560479171692374,0.40236442177383985,0.3501498457487061,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,6,0.4,189,0.5651133440035029,0.09630068253968253,0.4688126614638204,0.5412288408864427,0.16864488869117047,0.4521740294953503,0.3998501542512938,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,7,0.45,189,0.6052124655372753,0.09828445767195765,0.5069280078653176,0.5080325775360935,0.14746861829959523,0.5002085274804837,0.4499906040466426,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,8,0.5,189,0.6461480554284601,0.09946435449735448,0.5466837009311056,0.47836861419417553,0.1317961386271885,0.5446849667206013,0.5,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,9,0.55,189,0.6965640290682602,0.10159220634920633,0.5949718227190539,0.44076454435430823,0.11250195963672856,0.5955032034525796,0.5500093959533574,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,10,0.6,189,0.7286328254687578,0.0996522275132275,0.6289805979555303,0.4061288912903774,0.0954731564042429,0.6429539423771006,0.6001498457487062,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,11,0.65,189,0.787361135131208,0.10181852645502644,0.6855426086761817,0.36538188187060533,0.07925527026413606,0.6908466648803187,0.6498501542512938,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,12,0.7,189,0.8260694051268005,0.10309715873015873,0.7229722463966419,0.334212431716166,0.06608932548099089,0.7362755158590892,0.6999906040466426,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,13,0.75,189,0.8497088781947549,0.10015685449735448,0.7495520236974005,0.29875575029907164,0.05453138155911961,0.7813466645422436,0.75,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,14,0.8,189,0.8971826887429301,0.10375046031746031,0.7934322284254697,0.2614163404143361,0.042386169471437925,0.8277701820646014,0.8000093959533574,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,15,0.85,189,0.9606598779911052,0.1058146296296296,0.8548452483614756,0.22603665195927808,0.03228789536410535,0.8705984467551822,0.8501498457487062,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,16,0.9,189,1.0227023815300071,0.10721430158730157,0.9154880799427054,0.18440481991921032,0.022204307336655828,0.9138327020185965,0.8998501542512938,1.0,0.0,4.0,4.0
c4_l4,C4 · 4s,17,0.95,189,1.0362746903373499,0.10266912433862434,0.9336055659987255,0.12595072914673772,0.010939832402284766,0.9578085204280874,0.9499906040466426,1.0,0.0,4.0,4.0
c8_l1,C8 · 1s,0,0.1,189,0.3088713703443405,0.09299199999999998,0.21587937034434043,0.7643424807382482,0.3724456060500372,0.14507742297081716,0.10014984574870615,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,1,0.15,189,0.36170680936331817,0.0957566455026455,0.26595016386067266,0.7136228948772426,0.31451919627568076,0.20059453258438711,0.1498501542512938,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,2,0.2,189,0.4115326269175823,0.09981782804232803,0.3117147988752543,0.6647647072181657,0.2681578438748758,0.257235675971344,0.19999060404664257,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,3,0.25,189,0.44409465859608327,0.09976934656084656,0.34432531203523664,0.6153822331516831,0.22913788582282088,0.3171695652146818,0.25,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,4,0.3,189,0.5017136191675805,0.11112049999999998,0.39059311916758044,0.5728205541671111,0.19682600195445707,0.37170189287927413,0.3000093959533574,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,5,0.35,189,0.5372947140488934,0.1101887566137566,0.42710595743513674,0.5386138554642755,0.17389056796119323,0.42319348533317525,0.3501498457487061,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,6,0.4,189,0.5727405024555183,0.10964711111111111,0.46309339134440725,0.5065560517881913,0.15261646269490475,0.47294589482917987,0.3998501542512938,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,7,0.45,189,0.6134791903582733,0.11345129894179892,0.5000278914164743,0.474022934597636,0.13370367301204214,0.5218175104055455,0.4499906040466426,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,8,0.5,189,0.637566055334304,0.11155923280423279,0.5260068225300712,0.4409397885636993,0.11650057034517719,0.5684067985368153,0.5,1.0,0.0,8.0,1.0
c8_l1,C8 · 1s,9,0.55,189,0.7091435187218086,0.11981906349206348,0.589324455229745,0.4105492445477654,0.10063460642698577,0.61543215046484,0.5500093959533574,1.0,0.0,8.0,1.0
