method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,cell_count,length_factor,projection_path_ms
c4_l1,C4 · 1s,4,0.3,9,11.609597206115723,0.005952381011512544,10.229683611128065,1.423198448287116,0.30000939595335735,0,4.0,1.0,0.4874554605076827
c4_l1,C4 · 1s,5,0.35,9,11.515126016404894,0.014912035730149998,10.315244250827366,1.3702175352308485,0.3501498457487061,0,4.0,1.0,0.5300338942071215
c4_l1,C4 · 1s,6,0.4,9,11.174803733825684,0.015238152816891655,9.932273228963217,1.3439045151074727,0.3998501542512938,0,4.0,1.0,0.5781980871667045
c4_l1,C4 · 1s,7,0.45,9,11.633316622840034,0.009117063962750945,10.368369526333279,1.4403082595931158,0.4499906040466426,0,4.0,1.0,0.6021109946005848
c4_l1,C4 · 1s,8,0.5,9,11.428307321336534,0.037209565026892516,10.397431055704752,1.4294010665681627,0.5,0,4.0,1.0,0.6445477803610415
c4_l1,C4 · 1s,9,0.55,9,10.444575256771511,0.02601731061521501,9.347192923227945,1.353784634007348,0.5500093959533574,0,4.0,1.0,0.6981776295931166
c4_l1,C4 · 1s,10,0.6,9,8.843230247497559,0.039197395866115856,7.710056622823079,1.1598864926232233,0.6001498457487062,0,4.0,1.0,0.745174211627307
c4_l1,C4 · 1s,11,0.65,9,7.567328717973497,0.06379294643799457,6.582776572969225,1.0871108770370483,0.6498501542512938,0,4.0,1.0,0.7850286561793556
c4_l1,C4 · 1s,12,0.7,9,6.260007460912068,0.10508677735924718,5.224381658766005,0.9849787288241916,0.6999906040466426,0,4.0,1.0,0.8415794128582524
c4_l1,C4 · 1s,13,0.75,9,5.502559370464748,0.1512722849018044,4.477030012342665,0.9028825627432929,0.75,0,4.0,1.0,0.8506011534072074
c4_l1,C4 · 1s,14,0.8,9,4.859834127955967,0.20101129946609333,3.914835042423672,0.8708230356375376,0.8000093959533573,0,4.0,1.0,0.9179442437701733
c4_l1,C4 · 1s,15,0.85,9,3.5514830152193704,0.3038102111054791,2.6204217937257557,0.7562559545040131,0.8501498457487061,0,4.0,1.0,0.9723970765747639
c4_l1,C4 · 1s,16,0.9,9,2.1522933608955808,0.4222106701797909,1.4349404440985785,0.6730756163597107,0.8998501542512939,0,4.0,1.0,1.0222975455328995
c4_l1,C4 · 1s,17,0.95,9,1.2044921418031056,0.5912948482566409,0.807437989446852,0.48904094265566933,0.9499906040466427,0,4.0,1.0,1.054584425833024
c4_l2,C4 · 2s,0,0.1,9,12.697363747490776,0.010989011161857179,11.607125282287598,1.3983632458580866,0.10014984574870617,0,4.0,2.0,0.30765614539604275
