n,target_cv,observed_cv,trial,spatial_mode,target_fraction,method,method_label,importance_fraction,importance_overshoot,rows,chunks,two_line_ms,lookup_ms,coverage_met,fallback_used,error
4864,1.25,1.25,1,hot-cold,0.75,td_2l_c16_trim256,TD-2L (16) + trim 256,0.7500770319767143,7.70319767142702e-05,2203,13,0.716913668896657,0.7325501598968713,True,False,
4864,1.25,1.25,1,hot-cold,0.75,tiles_half_s,Tiles (s/2),0.7523553963838349,0.0023553963838348624,2210,3,0.7299428600794479,0.7421212256081768,True,False,
4864,1.25,1.25,1,hot-cold,0.75,tiles_s,Tiles (s),0.7547347937575326,0.004734793757532607,2227,1,0.72448657862612,0.740072556980057,True,False,
4864,1.25,1.25,1,hot-cold,0.75,tiles_2s,Tiles (2s),0.7649065583697086,0.014906558369708556,2295,1,0.7466083062177572,0.7626701923076923,True,False,
4864,1.25,1.25,1,hot-cold,0.75,paper_bucket64,Paper bucket 64,0.7551179786577644,0.0051179786577644215,2316,24,0.8510527386760542,0.8325236037636901,True,False,
4864,1.25,1.25,1,hot-cold,0.75,paper_bucket256,Paper bucket 256,0.7507121526557617,0.0007121526557617441,2280,18,0.7849476143915065,0.7835706780159737,True,False,
4864,1.25,1.25,1,hot-cold,0.75,paper_bucket1024,Paper bucket 1024,0.752627735091056,0.0026277350910559605,2280,16,0.7677397919845472,0.7749180148719682,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,paper,Paper,0.8047289950525991,0.004728995052599161,2628,18,0.8848949345124804,0.8940253143330098,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,supported_full,Full supported,0.8035457081548752,0.0035457081548753155,2507,15,0.8165502943339297,0.8344501983497747,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,td_2l_c4,TD-2L (4),0.8893247017165489,0.08932470171654894,3185,19,1.03614268204948,1.0590629903519397,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,td_2l_c8,TD-2L (8),0.8035457081548752,0.0035457081548753155,2507,15,0.8165502943339297,0.8344501983497747,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,td_2l_c16,TD-2L (16),0.8035457081548752,0.0035457081548753155,2507,15,0.8165502943339297,0.8344501983497747,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,td_2l_c32,TD-2L (32),0.8035457081548752,0.0035457081548753155,2507,15,0.8165502943339297,0.8344501983497747,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,td_2l_c8_trim64,TD-2L (8) + trim 64,0.800078915160638,7.891516063807114e-05,2490,15,0.8110198624360203,0.8283711642957546,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,td_2l_c16_trim256,TD-2L (16) + trim 256,0.800078915160638,7.891516063807114e-05,2490,15,0.8110198624360203,0.8283711642957546,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,tiles_half_s,Tiles (s/2),0.8000422127061808,4.221270618087747e-05,2516,3,0.8294906342418156,0.8438105845825358,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,tiles_s,Tiles (s),0.8078484762950011,0.007848476295001183,2565,2,0.8344445775374932,0.8521137716888103,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,tiles_2s,Tiles (2s),0.8061377495155677,0.006137749515567781,2565,1,0.8344445775374933,0.8523960972850678,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,paper_bucket64,Paper bucket 64,0.8038323685278675,0.0038323685278676134,2664,28,0.9827159770395956,0.963325442097964,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,paper_bucket256,Paper bucket 256,0.8050895996702936,0.005089599670293654,2676,21,0.9201595858987788,0.9204374634497322,True,False,
4864,1.25,1.25,1,hot-cold,0.7999999999999999,paper_bucket1024,Paper bucket 1024,0.8020641502617238,0.002064150261723907,2610,18,0.8805181637346005,0.8884974666192403,True,False,
4864,1.25,1.25,1,hot-cold,0.85,paper,Paper,0.8548517539611593,0.004851753961159333,3000,21,1.0204218930552806,1.0284610669976015,True,False,
4864,1.25,1.25,1,hot-cold,0.85,supported_full,Full supported,0.8631650296391737,0.013165029639173764,2952,19,0.9604136607454692,0.9826096287085199,True,False,
4864,1.25,1.25,1,hot-cold,0.85,td_2l_c4,TD-2L (4),0.8893247017165489,0.03932470171654889,3185,19,1.03614268204948,1.0590629903519397,True,False,
4864,1.25,1.25,1,hot-cold,0.85,td_2l_c8,TD-2L (8),0.8631650296391737,0.013165029639173764,2952,19,0.9604136607454692,0.9826096287085199,True,False,
4864,1.25,1.25,1,hot-cold,0.85,td_2l_c16,TD-2L (16),0.8631650296391737,0.013165029639173764,2952,19,0.9604136607454692,0.9826096287085199,True,False,
4864,1.25,1.25,1,hot-cold,0.85,td_2l_c32,TD-2L (32),0.8631650296391737,0.013165029639173764,2952,19,0.9604136607454692,0.9826096287085199,True,False,
4864,1.25,1.25,1,hot-cold,0.85,td_2l_c8_trim64,TD-2L (8) + trim 64,0.853358247917955,0.003358247917955026,2888,19,0.9409782883579769,0.9605476555005064,True,False,
4864,1.25,1.25,1,hot-cold,0.85,td_2l_c16_trim256,TD-2L (16) + trim 256,0.8502220376672356,0.00022203766723560836,2867,19,0.9342287439577438,0.9534165944277528,True,False,
4864,1.25,1.25,1,hot-cold,0.85,tiles_half_s,Tiles (s/2),0.8520237302613458,0.0020237302613458352,2890,1,0.9401734226445831,0.9603995014245014,True,False,
4864,1.25,1.25,1,hot-cold,0.85,tiles_s,Tiles (s),0.8537174126786413,0.003717412678641341,2902,1,0.9440772569254603,0.9643873194234959,True,False,
4864,1.25,1.25,1,hot-cold,0.85,tiles_2s,Tiles (2s),0.8611367962135728,0.011136796213572775,2970,1,0.9661989845170975,0.9869849547511312,True,False,
4864,1.25,1.25,1,hot-cold,0.85,paper_bucket64,Paper bucket 64,0.8556449809925686,0.0056449809925686045,3114,35,1.1696995646756712,1.1447092552126927,True,False,
4864,1.25,1.25,1,hot-cold,0.85,paper_bucket256,Paper bucket 256,0.8569249337878393,0.006924933787839316,3066,25,1.0709091732713214,1.0675967401668673,True,False,
4864,1.25,1.25,1,hot-cold,0.85,paper_bucket1024,Paper bucket 1024,0.8544960763412899,0.004496076341289901,3000,21,1.0204218930552806,1.026864688182455,True,False,
4864,1.25,1.25,1,hot-cold,0.9,paper,Paper,0.9033029363289159,0.003302936328915873,3504,25,1.1971772892120025,1.2078733968163082,True,False,
4864,1.25,1.25,1,hot-cold,0.9,supported_full,Full supported,0.9055893707296199,0.005589370729619847,3358,18,1.0928103116720733,1.1175976066984696,True,False,
4864,1.25,1.25,1,hot-cold,0.9,td_2l_c4,TD-2L (4),1.0,0.09999999999999998,4864,1,1.5823541618488761,1.6163955622590918,True,False,
4864,1.25,1.25,1,hot-cold,0.9,td_2l_c8,TD-2L (8),0.9055893707296199,0.005589370729619847,3358,18,1.0928103116720733,1.1175976066984696,True,False,
4864,1.25,1.25,1,hot-cold,0.9,td_2l_c16,TD-2L (16),0.9055893707296199,0.005589370729619847,3358,18,1.0928103116720733,1.1175976066984696,True,False,
4864,1.25,1.25,1,hot-cold,0.9,td_2l_c32,TD-2L (32),0.9055893707296199,0.005589370729619847,3358,18,1.0928103116720733,1.1175976066984696,True,False,
