trial,target_cv,spatial_mode,coverage_target,exact_achieved,exact_rows,exact_chunks,exact_aff_ms
2,1.25,local,0.5,0.5041982578487203,89,1,0.02344421858579026
2,1.25,local,0.7,0.708688157298434,134,1,0.029735791335485706
2,1.25,local,0.9,0.9006390608696222,193,1,0.037984742273975296
2,1.25,local,0.95,0.9504003922005739,230,1,0.043157813201502665
2,1.25,local,0.99,0.990810452407959,247,1,0.04553462957360983
2,1.25,hot-cold,0.1,0.11016139593176248,8,1,0.012119387636338453
2,1.25,hot-cold,0.3,0.3151786920554245,29,1,0.015055454919529664
2,1.25,hot-cold,0.5,0.5064648868921645,55,1,0.018690585841575923
2,1.25,hot-cold,0.7,0.7002375643349347,100,1,0.02498215859127137
2,1.25,hot-cold,0.9,0.9025184765641023,176,1,0.03560792590186813
2,1.25,hot-cold,0.95,0.951371245558348,205,1,0.03966249500722742
2,1.25,hot-cold,0.99,0.9905170450189679,239,1,0.044416127751441756
2,1.44,random,0.1,0.10164664888232597,13,1,0.012818451275193503
2,1.44,random,0.3,0.3004029904330123,60,1,0.01938964948043097
2,1.44,random,0.5,0.5116105613494883,118,1,0.02749878769114955
2,1.44,random,0.7,0.7085612004724461,167,1,0.03434961135192904
2,1.44,random,0.9,0.9008231615361006,222,1,0.04203931137933459
2,1.44,random,0.95,0.9515528275562144,236,1,0.04399668956812872
2,1.44,random,0.99,0.9913129139558554,250,1,0.045954067756922866
2,1.44,local,0.1,0.11222898980538297,5,1,0.011699949453025424
2,1.44,local,0.3,0.30005789984879894,21,1,0.013936953097361583
2,1.44,local,0.5,0.5048615984591416,59,1,0.01924983675265996
2,1.44,local,0.7,0.7029023806106781,117,1,0.027358974963378538
2,1.44,local,0.9,0.9005825207106198,217,1,0.041340247740479535
2,1.44,local,0.95,0.9510067021539393,226,1,0.042598562290418626
2,1.44,local,0.99,0.9902025399053933,240,1,0.04455594047921276
2,1.44,hot-cold,0.1,0.10110408184101663,6,1,0.011839762180796434
2,1.44,hot-cold,0.3,0.30547909524933503,24,1,0.014356391280674613
2,1.44,hot-cold,0.5,0.502043748280782,51,1,0.018131334930491884
2,1.44,hot-cold,0.7,0.7049471919312603,84,1,0.02274515494693521
2,1.44,hot-cold,0.9,0.9010414603677792,149,1,0.03183298225205086
2,1.44,hot-cold,0.95,0.9501959513149458,184,1,0.036726427724036205
2,1.44,hot-cold,0.99,0.9916815868873856,231,1,0.04329762592927368
2,2.48,random,0.1,0.1093897388615202,1,1,0.011140698541941383
