shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",4,0.680292
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",5,0.681554
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",6,0.691162
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",7,0.666185
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",8,0.675493
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",9,0.671115
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",10,0.654303
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",11,0.67897
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",12,0.666947
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",13,0.645397
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",14,0.644515
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",15,0.645747
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",16,0.670493
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",17,0.722701
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",18,0.658741
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",19,0.673609
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",20,0.66318
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",21,0.655586
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",22,0.638684
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",23,0.63705
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",24,0.633214
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",25,0.621232
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",26,0.664572
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",27,0.672988
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",28,0.6524
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",29,0.668289
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",0,0.979821
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",1,0.982476
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",2,0.979921
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",3,0.972017
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",4,0.973449
