model,shape,family,budget_index,calibrated_nonselector_ms,calibrated_selector_ms,calibration_candidates
qwen05,896x4864,raw,10,0.7757304169661271,0.13833802777777776,18
qwen05,896x4864,raw,11,0.8307590015514725,0.13885316666666667,18
qwen05,896x4864,raw,12,0.9085323053225246,0.1500017222222222,18
qwen05,896x4864,raw,13,0.937861916015668,0.14316969444444444,18
qwen05,896x4864,raw,14,1.041575557153927,0.15662066666666666,18
qwen05,896x4864,raw,15,1.0939641942726273,0.16218002777777776,18
qwen05,896x4864,raw,16,1.290640667407569,0.16957905555555552,18
qwen05,896x4864,raw,17,1.2611938339112467,0.16537908333333332,18
qwen05,896x896,bound,0,0.1454768887327379,0.10578819444444444,18
qwen05,896x896,bound,1,0.15210769432967897,0.09361708333333334,18
qwen05,896x896,bound,2,0.1756007776164644,0.10108963888888887,18
qwen05,896x896,bound,3,0.18754952774323022,0.09772788888888888,18
qwen05,896x896,bound,4,0.20603702783534258,0.10855483333333331,18
qwen05,896x896,bound,5,0.21328450011325872,0.1139236111111111,18
qwen05,896x896,bound,6,0.21360069434024223,0.13149352777777776,18
qwen05,896x896,bound,7,0.23858019446086884,0.10716363888888887,18
qwen05,896x896,bound,8,0.23182586101772384,0.10632913888888888,18
qwen05,896x896,bound,9,0.2532758331772387,0.10680466666666664,18
qwen05,896x896,bound,10,0.25137963916526895,0.10656930555555554,18
qwen05,896x896,bound,11,0.265442638976213,0.10050713888888889,18
qwen05,896x896,bound,12,0.2944116939673887,0.10777936111111111,18
qwen05,896x896,bound,13,0.2817254446623226,0.10921111111111109,18
qwen05,896x896,bound,14,0.3160551110676726,0.11039952777777777,18
qwen05,896x896,bound,15,0.30478511103370787,0.10837733333333333,18
qwen05,896x896,bound,16,0.312525972411202,0.10531033333333333,18
qwen05,896x896,bound,17,0.3529815292399724,0.10398488888888888,18
qwen05,896x896,diag,0,0.1465303609561456,0.09163099999999998,18
qwen05,896x896,diag,1,0.14898599979466198,0.08787102777777776,18
qwen05,896x896,diag,2,0.18098230539968607,0.0974412222222222,18
qwen05,896x896,diag,3,0.18695727751847435,0.09419538888888888,18
qwen05,896x896,diag,4,0.19788436101732648,0.09661386111111112,18
qwen05,896x896,diag,5,0.21172280560827914,0.09520277777777778,18
qwen05,896x896,diag,6,0.20709077774233614,0.09430138888888889,18
qwen05,896x896,diag,7,0.23473530561199782,0.09572675,18
qwen05,896x896,diag,8,0.22991166630483997,0.09505191666666664,18
qwen05,896x896,diag,9,0.25231838855879835,0.0986731388888889,18
qwen05,896x896,diag,10,0.24826627809030477,0.10204311111111108,18
qwen05,896x896,diag,11,0.26490469456697174,0.09975833333333332,18
qwen05,896x896,diag,12,0.3019073607826829,0.09309713888888888,18
qwen05,896x896,diag,13,0.279429694950468,0.0995948611111111,18
qwen05,896x896,diag,14,0.3195311390681134,0.1027893611111111,18
qwen05,896x896,diag,15,0.30791999983300433,0.09943316666666664,18
qwen05,896x896,diag,16,0.3228396948202914,0.10020516666666664,18
qwen05,896x896,diag,17,0.35369941789712506,0.10180722222222222,18
qwen05,896x896,raw,0,0.15211741646788512,0.07121608333333332,18
qwen05,896x896,raw,1,0.1578051942722168,0.09518524999999999,18
qwen05,896x896,raw,2,0.17735430547448328,0.10206508333333332,18
qwen05,896x896,raw,3,0.17864847224338185,0.10365411111111109,18
qwen05,896x896,raw,4,0.19346449964870013,0.09635608333333331,18
qwen05,896x896,raw,5,0.19716955572302142,0.10015072222222221,18
qwen05,896x896,raw,6,0.20913266659179985,0.10037341666666665,18
qwen05,896x896,raw,7,0.2327154167687396,0.10335055555555554,18
qwen05,896x896,raw,8,0.22590244425102401,0.10297927777777775,18
qwen05,896x896,raw,9,0.2508826391063101,0.09562622222222221,18
qwen05,896x896,raw,10,0.2531131390002502,0.10264363888888887,18
qwen05,896x896,raw,11,0.27075369451886083,0.10360602777777778,18
qwen05,896x896,raw,12,0.2896959166242182,0.10934227777777775,18
qwen05,896x896,raw,13,0.2835256670699484,0.108456,18
qwen05,896x896,raw,14,0.32054338958534595,0.108794,18
qwen05,896x896,raw,15,0.31715969430846636,0.10942183333333334,18
qwen05,896x896,raw,16,0.3231410552753905,0.11417158333333334,18
