model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
smol360,2560x960,diag,0.95,0.5765625,9,1.0,0.5107638888888889,0.8166666666666667
smol360,2560x960,diag,0.975,0.54296875,9,0.6666666666666666,0.6166232638888889,0.8666666666666667
smol360,2560x960,raw,0.5,0.340625,9,1.0,0.24388020833333332,0.4666666666666667
smol360,2560x960,raw,0.55,0.36171875,9,1.0,0.28988715277777777,0.5166666666666667
smol360,2560x960,raw,0.6,0.372265625,9,1.0,0.34084201388888885,0.5666666666666667
smol360,2560x960,raw,0.65,0.370703125,9,1.0,0.39696180555555555,0.6166666666666667
smol360,2560x960,raw,0.7,0.356640625,9,1.0,0.45837673611111107,0.6666666666666666
smol360,2560x960,raw,0.75,0.32890625,9,1.0,0.5255208333333333,0.7166666666666667
smol360,2560x960,raw,0.8,0.28593749999999996,9,1.0,0.5989149305555556,0.7666666666666667
smol360,2560x960,raw,0.85,0.23750000000000004,9,1.0,0.6793836805555555,0.8222222222222223
smol360,2560x960,raw,0.9,0.19999999999999996,9,1.0,0.7688368055555556,0.8833333333333333
smol360,2560x960,raw,0.925,0.177734375,9,1.0,0.8178819444444445,0.9333333333333333
smol360,2560x960,raw,0.95,0.1484375,9,1.0,0.8706597222222222,0.9499999999999998
smol360,2560x960,raw,0.975,0.059374999999999956,9,0.1111111111111111,0.9289496527777779,0.9499999999999998
smol360,960x2560,bound,0.5,0.109375,18,1.0,0.35763888888888884,0.44722222222222224
smol360,960x2560,bound,0.55,0.10833333333333345,18,1.0,0.4134837962962963,0.5
smol360,960x2560,bound,0.6,0.10520833333333329,18,1.0,0.47094907407407405,0.55
smol360,960x2560,bound,0.65,0.10729166666666673,18,1.0,0.5295717592592593,0.6083333333333333
smol360,960x2560,bound,0.7,0.10520833333333324,18,1.0,0.5899305555555556,0.6694444444444444
smol360,960x2560,bound,0.75,0.09479166666666672,18,1.0,0.6513888888888889,0.7250000000000001
smol360,960x2560,bound,0.8,0.08958333333333335,18,1.0,0.7146990740740741,0.788888888888889
smol360,960x2560,bound,0.85,0.07395833333333335,18,1.0,0.7798032407407408,0.8416666666666667
smol360,960x2560,bound,0.9,0.0697916666666667,18,1.0,0.8473958333333333,0.8944444444444445
smol360,960x2560,bound,0.925,0.07291666666666663,18,1.0,0.8821759259259259,0.9416666666666667
smol360,960x2560,bound,0.95,0.044791666666666785,18,1.0,0.9185185185185184,0.9499999999999998
smol360,960x2560,bound,0.975,0.0,18,0.0,0.9566550925925925,0.9499999999999998
smol360,960x2560,diag,0.5,0.1958333333333334,18,1.0,0.07135416666666662,0.19722222222222222
smol360,960x2560,diag,0.55,0.1854166666666667,18,1.0,0.09062499999999997,0.2222222222222222
smol360,960x2560,diag,0.6,0.2197916666666667,18,1.0,0.11261574074074071,0.25
smol360,960x2560,diag,0.65,0.2260416666666667,18,1.0,0.13964120370370367,0.28611111111111115
smol360,960x2560,diag,0.7,0.28645833333333337,18,1.0,0.17864583333333328,0.34444444444444444
smol360,960x2560,diag,0.75,0.2510416666666667,18,1.0,0.24195601851851847,0.40555555555555556
