trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,3.3,hot-cold,0.25,1216,0.7389048446679981,1212,15,0.46155608281486776,4.939379,0.867016233693273,1216,565,6.5130219697029705,0.05877,17.338009075151952
0,3.3,hot-cold,0.375,1824,0.8583846194888454,1824,18,0.6442981717001306,6.876799,0.9308674188363277,1824,634,7.420843833229081,0.035446,8.444093440379286
0,3.3,hot-cold,0.5,2432,0.9150729008851368,2430,22,0.8365731127579681,8.532623,0.9651152513579704,2432,655,7.800623177675013,0.054321,5.468673635120025
0,3.3,hot-cold,0.625,3040,0.9498005573614496,3036,24,1.006846282187465,11.187934,0.9837220208565309,3040,632,7.696363546297449,0.039204,3.5714301525906933
0,3.3,hot-cold,0.75,3648,0.9700014540475471,3648,29,1.2115901427010685,12.371846,0.9936304248525452,3648,552,6.965053423512174,0.041437,2.4359727200821135
0,3.3,hot-cold,0.875,4256,0.9805012455414223,4254,34,1.4148659695730763,14.137014,0.9984777518773167,4256,382,5.2436635774515645,0.038662,1.8333996430538013
0,4.55,random,0.125,608,0.3235341259270507,606,14,0.3022837991995413,3.51653,0.7720632912252294,608,511,5.770213393389415,0.029976,138.6342674093401
0,4.55,random,0.25,1216,0.4980310300323843,1212,23,0.5495631693282308,4.813824,0.8935733892200524,1216,894,10.132313402565023,0.047229,79.42122786243822
0,4.55,random,0.375,1824,0.6344832565242337,1824,31,0.7873096872843455,7.788943,0.9458178694474064,1824,1107,12.624262823331668,0.040957,49.06900374782097
0,4.55,random,0.5,2432,0.7445715345043098,2430,38,1.012587285784694,10.198976,0.9728916159232379,2432,1208,13.88411303291123,0.043632,30.66462667968226
0,4.55,random,0.625,3040,0.8362795092317119,3036,44,1.2268639984708725,11.532437,0.9876705474584748,3040,1142,13.306815311524339,0.06946,18.10292331159058
