trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,pareto_peak_states
2,9.19,local,9.19000000000001,0.09127119762389248,0.22442561602784158,21
2,9.19,hot-cold,9.190000000000008,-0.011885799158246904,0.999997342620932,29
3,1.07,random,1.0699999999999998,-0.028861627437836466,0.46730491732591034,306
3,1.07,local,1.07,0.898234082567027,0.31066983729972875,241
3,1.07,hot-cold,1.07,0.36384599783048,0.7754315555476974,316
3,1.25,random,1.2500000000000002,-0.040415807733081975,0.47310739150292713,275
3,1.25,local,1.2499999999999998,0.8438742552153681,0.4149125699062382,286
3,1.25,hot-cold,1.25,0.41625402575923826,0.8095124959793705,301
3,1.44,random,1.4400000000000004,-0.07150244202641354,0.45026626037153433,264
3,1.44,local,1.4400000000000002,0.8229400052401822,0.3508111784646769,250
3,1.44,hot-cold,1.4400000000000002,0.17046946802696328,0.7888742354888785,289
3,2.48,random,2.4799999999999995,-0.06249381273584694,0.3632811063115652,189
3,2.48,local,2.4799999999999995,0.6806626781609677,0.33886947664999284,213
3,2.48,hot-cold,2.4799999999999986,0.2150628718087047,0.8944834710970309,213
3,3.3,random,3.3000000000000003,-0.03608223502720939,0.5763909937320834,117
3,3.3,local,3.3000000000000003,0.7440498617986491,0.38372129797885257,136
3,3.3,hot-cold,3.3000000000000007,0.08917982493174167,0.9584579286264127,141
3,4.55,random,4.55,-0.03495851590833627,0.6142721991404597,138
3,4.55,local,4.550000000000001,0.5788608873654493,0.9071536551230855,126
3,4.55,hot-cold,4.55,0.119241322199572,0.9600728682899671,148
3,9.19,random,9.189999999999998,0.12443672433045368,0.11619700135135684,44
3,9.19,local,9.190000000000001,0.20524071487720885,0.026253292026966177,41
3,9.19,hot-cold,9.19,0.0062955748674575285,0.999706546393111,43
4,1.07,random,1.07,-0.07036367463810135,0.5089043111469541,288
4,1.07,local,1.07,0.6182625246421439,0.5065288235245415,276
4,1.07,hot-cold,1.07,0.37844984428777095,0.7772437304501417,309
4,1.25,random,1.2500000000000004,-0.05977377942213705,0.5473838934297078,293
4,1.25,local,1.2500000000000002,0.6790478605599094,0.7066173433710542,301
4,1.25,hot-cold,1.2500000000000002,0.3334612166116108,0.7936286168512825,300
4,1.44,random,1.4400000000000002,-0.06333598131827572,0.4492656251593325,254
4,1.44,local,1.4400000000000002,0.8003106950649429,0.6695158561437949,281
4,1.44,hot-cold,1.4400000000000002,0.22885438594468016,0.8000496051262658,292
4,2.48,random,2.480000000000001,-0.02770834917629263,0.4632630728294033,213
4,2.48,local,2.480000000000001,0.3752955282612916,0.6023869258321648,242
4,2.48,hot-cold,2.480000000000001,0.15129021544999746,0.8908666336626283,246
4,3.3,random,3.3000000000000003,-0.0414634113578908,0.31858859354966285,133
4,3.3,local,3.3000000000000007,0.744950568989038,0.4405487778765195,128
4,3.3,hot-cold,3.3000000000000003,0.010834247669110767,0.9314523781401354,159
4,4.55,random,4.550000000000001,0.011580982285433054,0.44575051786629266,99
4,4.55,local,4.550000000000001,0.720336178186815,0.1746623601842848,104
4,4.55,hot-cold,4.550000000000001,0.27336808526560036,0.9713069854229223,122
4,9.19,random,9.190000000000003,-0.00771012380058589,0.17681383837113215,94
4,9.19,local,9.190000000000005,0.05750954436163965,0.03412611442996578,75
4,9.19,hot-cold,9.190000000000001,-0.0054552060847184395,0.975260899975696,106
5,1.07,random,1.07,0.001845022737451885,0.46166379176041317,306
5,1.07,local,1.07,0.7681534300166304,0.3627173065117095,289
5,1.07,hot-cold,1.07,0.30338736852446363,0.7337604601256862,320
5,1.25,random,1.2500000000000002,-0.043858741893197,0.48521543465088696,294
5,1.25,local,1.2500000000000002,0.7159115742308642,0.6931614693628265,296
5,1.25,hot-cold,1.2500000000000002,0.25209646289668625,0.772557781334797,307
5,1.44,random,1.44,0.07886750983319132,0.500002376194179,265
5,1.44,local,1.44,0.7910512722405707,0.7276321085019729,280
5,1.44,hot-cold,1.4399999999999997,0.28102894473288037,0.8070913000733873,282
5,2.48,random,2.4800000000000004,-0.06619460090127538,0.4354777715569802,197
5,2.48,local,2.480000000000001,0.7443609119256204,0.15435805813076486,197
5,2.48,hot-cold,2.480000000000001,0.17554289972413625,0.8687016434135221,240
5,3.3,random,3.3000000000000007,-0.04574253231579503,0.6725827774806962,173
5,3.3,local,3.3000000000000007,0.8161667321385425,0.8359630928024928,161
5,3.3,hot-cold,3.3000000000000016,0.007121689768596946,0.9478255899654017,196
5,4.55,random,4.550000000000001,-0.008837734298472856,0.6981826787581046,164
5,4.55,local,4.550000000000001,0.3975886446437274,0.08234681649410415,143
5,4.55,hot-cold,4.55,0.07763306554530014,0.950619909065169,163
5,9.19,random,9.19000000000001,-0.006512686562787682,0.32256595481232464,26
5,9.19,local,9.19000000000001,0.455393147256204,8.698621964781797e-06,21
5,9.19,hot-cold,9.190000000000008,0.06212553671697833,0.9998490237714693,35
6,1.07,random,1.07,-0.06411394740137406,0.48585369233481907,275
6,1.07,local,1.07,0.8913493380560142,0.6834370380242505,299
6,1.07,hot-cold,1.07,0.3900366173553289,0.7928300314225714,302
6,1.25,random,1.25,-0.04747369091253526,0.48921729362613176,290
6,1.25,local,1.25,0.7885026777802504,0.6513894447702246,330
6,1.25,hot-cold,1.2500000000000002,0.26434765046549547,0.7510973035843432,313
6,1.44,random,1.44,0.06549785911918761,0.5222531720612608,279
6,1.44,local,1.44,0.7770048207550169,0.3320188949114126,242
