model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_medium_code,4,0.3,paper,Paper |x|,error_oracle,True,0.6404096356460026,0.5553918111891973,21.0,9.982781501104652,0.4753705476716501,11.559054754674435,0.5504311787940207,0.5504311787940207,0.28206397690655205
qwen05,test_medium_code,4,0.3,cell1_x2,Cell-1 X²,importance_bound,True,0.6404096356460026,0.5553918111891973,21.0,6.5261430027641065,0.3107687144173384,13.416392393410206,0.6388758282576289,0.5828585456280658,0.33341445130683844
qwen05,test_medium_code,4,0.3,cell1_x2,Cell-1 X²,error_oracle,True,0.6404096356460026,0.5553918111891973,21.0,6.544225001546442,0.311629761978402,11.657015027478337,0.5550959536894446,0.5550959536894446,0.33102286967418537
qwen05,test_medium_code,4,0.3,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6404096356460026,0.5553918111891973,21.0,7.408185005551995,0.352770714550095,13.277771726250648,0.6322748441071737,0.5613039595108213,0.3357934456677408
qwen05,test_medium_code,4,0.3,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6404096356460026,0.5553918111891973,21.0,7.401413504799664,0.3524482621333173,11.449317613616586,0.5452056006484088,0.5452056006484088,0.3239418300214822
qwen05,test_medium_code,4,0.3,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6404096356460026,0.5553918111891973,21.0,7.600402003303705,0.36192390491922405,13.236457131803036,0.6303074824668112,0.5373663762251714,0.3358088301109917
qwen05,test_medium_code,4,0.3,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6404096356460026,0.5553918111891973,21.0,7.5618750041156995,0.3600892859102714,11.653898039832711,0.5549475257063196,0.5549475257063196,0.30493085392051555
qwen05,test_medium_code,5,0.35,paper,Paper |x|,importance_bound,True,0.5909363528092703,0.5200736093379202,21.0,10.058767501484631,0.4789889286421253,12.093068607151508,0.5758604098643575,0.5087056190352,0.3760265619405657
qwen05,test_medium_code,5,0.35,paper,Paper |x|,error_oracle,True,0.5909363528092703,0.5200736093379202,21.0,10.028508001407982,0.47754800006704673,10.821254335343838,0.5152978254925638,0.5152978254925638,0.3279823442534908
qwen05,test_medium_code,5,0.35,cell1_x2,Cell-1 X²,importance_bound,True,0.5909363528092703,0.5200736093379202,21.0,6.708791502734719,0.3194662620349866,12.12346537411213,0.5773078749577204,0.5246962104990546,0.39293826083064803
qwen05,test_medium_code,5,0.35,cell1_x2,Cell-1 X²,error_oracle,True,0.5909363528092703,0.5200736093379202,21.0,6.677969004174054,0.31799852400828826,10.826213063672185,0.5155339554129612,0.5155339554129612,0.3691287370211242
