method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_twoline,Cell-1 |x| 2-line,abs,12,0.7,189,0.8512305345912519,0.8202321851649672,0.030998349426284624,0.09006537037037035,0.12106371979665499,0.6360619259259259,0.19669420634920634,0.3891853650793651,0.017140148143486005,0.07696474072518483,0.3185336824688843,0.06137832384260869,0.7459894276800609,0.6999906040466426,5.936507936507937,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,13,0.75,189,0.8752543256593248,0.8442559762330402,0.030998349426284624,0.09003193915343914,0.12103028857972378,0.6669932222222222,0.2041032513227513,0.412677082010582,0.016927661285513873,0.07030315357186487,0.28313076601821985,0.049680744214032645,0.7900951299717818,0.75,5.518518518518518,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,14,0.8,189,0.9197306991253378,0.8887323496990531,0.030998349426284624,0.08863578042328041,0.11963412984956504,0.6981411825396825,0.21337962698412696,0.43559329629629634,0.017106624349715174,0.08484876238637497,0.2518234722878015,0.039536255377310245,0.8334702748470205,0.8000093959533574,4.73015873015873,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,15,0.85,189,0.9790862518339605,0.9480879024076758,0.030998349426284624,0.08884209523809522,0.11984044466437986,0.7411681772486772,0.2253777751322751,0.46698003968253965,0.01721786240500112,0.10085976751590213,0.2133075871046573,0.028902873160347058,0.8765633355372797,0.8501498457487062,3.994708994708995,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,16,0.9,189,1.021553921004035,0.9905555715777502,0.030998349426284624,0.08866671164021163,0.11966506106649627,0.778725261904762,0.23825894179894178,0.4904782857142857,0.017329269783600876,0.10583432824917567,0.17148441804952363,0.0189991088771315,0.9185249647766194,0.8998501542512938,3.253968253968254,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,17,0.95,189,1.0529906224215135,1.0219922729952289,0.030998349426284624,0.0862452619047619,0.11724361133104652,0.8220459312169313,0.2500589074074074,0.5196768148148149,0.017240550216267615,0.09646052965726798,0.122938483482887,0.010258726972751465,0.9587116815425731,0.9499906040466426,2.0899470899470898,1.0,0.0
cell1_x2_lookup,Cell-1 X² lookup,x2,0,0.1,189,0.33691341789630036,0.3033311956770394,0.03358222221926087,0.0778086111111111,0.11139083333037199,0.18389752645502644,0.07298853968253967,0.0688061455026455,0.015087576711146243,0.026537481399755578,0.7713028151522238,0.3815918927470212,0.2931778000854941,0.10014984574870615,2.798941798941799,1.0,0.0
cell1_x2_lookup,Cell-1 X² lookup,x2,1,0.15,189,0.3687081534587668,0.3351259312395059,0.03358222221926087,0.07915757936507935,0.11273980158434024,0.20835539947089948,0.0748641111111111,0.09352272751322749,0.015277206311347259,0.032335746092179735,0.7144625820810833,0.31803294464393894,0.3563130568890345,0.1498501542512938,3.7830687830687832,1.0,0.0
cell1_x2_lookup,Cell-1 X² lookup,x2,2,0.2,189,0.4088333811165028,0.37525115889724187,0.03358222221926087,0.08123532275132274,0.11481754497058363,0.24132910582010583,0.08071863756613755,0.12040010846560846,0.015874201131284817,0.03681252919452842,0.6714355722266846,0.27794093650484836,0.41302682782607103,0.19999060404664257,4.645502645502646,1.0,0.0
cell1_x2_lookup,Cell-1 X² lookup,x2,3,0.25,189,0.4420950237133036,0.40851280149404273,0.03358222221926087,0.08294707407407406,0.11652929629333494,0.2731895158730159,0.08382742063492062,0.14851299999999998,0.0158252698324975,0.03655094171445516,0.6260715033267699,0.23570012793969852,0.47731136424200876,0.25,5.338624338624339,1.0,0.0
