trial,target_cv,spatial_mode,budget_fraction,target_importance,paper_r,cell1_fixed_r,cell1_bound_r,exact_r,cell1_fixed_importance_change_pct,cell1_fixed_two_line_saving_pct,cell1_bound_two_line_saving_pct,exact_two_line_saving_pct,exact_headroom_vs_cell1_bound_pct,cell1_bound_released_saving_pct,exact_released_saving_pct
0,3.3,local,0.5,0.907417496109875,0.4995888157894737,0.5,0.6500822368421053,0.5154194078947368,-9.383101726506894,27.456854760412718,5.756084737392286,22.734049019213675,18.014918241154167,1.6441045357028172,19.840133469312537
0,3.3,local,0.625,0.9416524953503028,0.6241776315789473,0.625,0.7600740131578947,0.5904605263157895,-4.9561257425779885,22.926948419666182,6.270042206416404,24.389803992209693,19.331878742223964,1.9896222792495144,21.524140703104266
0,3.3,local,0.75,0.9639130504564244,0.75,0.75,0.8299753289473685,0.666735197368421,-2.335206461984174,20.875348511896384,12.443184459765465,27.860921474042467,17.608837095259787,8.613109204877345,25.24544252193669
0,3.3,local,0.875,0.9812451854063352,0.8745888157894737,0.875,0.9000822368421053,0.7481496710526315,-0.5027648659835848,17.974798110745194,15.623511778393429,28.081077356176053,14.764261751524966,12.736782680874303,26.106254870720345
0,3.3,random,0.125,0.2584242943174299,0.1245888157894736,0.125,0.1700246710526315,0.1340460526315789,-24.676390653217172,21.577226719045917,-7.729865203265374,8.543921405592336,15.106105050955222,-10.60682034542082,8.63228446472527
0,3.3,random,0.25,0.4096461452697941,0.2491776315789473,0.25,0.3100328947368421,0.2635690789473684,-14.433038195697334,14.148274039523901,-4.627365527040461,9.372934538410183,13.381107318268782,-9.701620785092025,5.676742305646476
0,3.3,random,0.375,0.5520190172419741,0.375,0.375,0.4500411184210526,0.3898026315789473,-13.75028189578652,14.688248094835288,-2.585111251654326,10.056894788909233,12.323431623085257,-7.621727840550774,6.011089389304103
0,3.3,random,0.5,0.6802183399347943,0.4995888157894737,0.5,0.5900493421052632,0.5115131578947368,-10.748898483353775,13.605195650160473,-1.4196816487885622,11.073917507030085,12.318712652918162,-6.679842781786816,6.981444754497779
0,3.3,random,0.625,0.7869972033396888,0.6241776315789473,0.625,0.7000411184210527,0.6200657894736842,-8.399139886781605,13.728505801914148,3.4707716695046686,13.205260867862012,10.084499137430736,-1.509716541418471,9.215317806457413
0,3.3,random,0.75,0.8765454344790982,0.75,0.75,0.8199013157894737,0.7393092105263158,-5.08019588717371,11.865712617085233,3.651442411440753,12.713180910658295,9.405162595079219,-0.46734576500193636,9.058973708424611
0,3.3,random,0.875,0.951465000905112,0.8745888157894737,0.875,0.9200246710526316,0.8509457236842105,-3.184038400585132,11.060225633481846,6.483672394227269,13.236806514848032,7.221342297667277,3.119975321338342,9.881877876513911
0,4.55,hot-cold,0.125,0.5435265912937224,0.1245888157894736,0.125,0.1299342105263158,0.12109375,-3.8614088292108995,12.058448007752453,7.094488277222755,14.336927657725674,7.795489466883065,3.038679366917718,10.095623987481773
0,4.55,hot-cold,0.25,0.7637720743665282,0.2491776315789473,0.25,0.2600740131578947,0.2438322368421052,-1.3663791407632075,10.44603505636853,6.837363771633376,12.546478226894543,6.1281160413565345,3.627309781551824,9.408781929974385
0,4.55,hot-cold,0.375,0.8655982369469808,0.375,0.375,0.3700657894736842,0.3484786184210526,0.9173948005633425,9.65749420443418,10.846211385954785,15.98608761858803,5.765179823018207,7.8904409883817195,13.098517285364885
0,4.55,hot-cold,0.5,0.9256573380089704,0.4995888157894737,0.5,0.4800575657894737,0.4613486842105263,0.9569125333572792,8.82311089638944,12.459689121327866,15.487156212328134,3.4583691337311318,10.108208167884158,13.373311305696145
0,4.55,hot-cold,0.625,0.9560092005512516,0.6241776315789473,0.625,0.5799753289473685,0.5620888157894737,1.1174594877314092,7.552487479106452,14.212357624526085,16.554122700578546,2.729723082729163,12.076420434879898,14.5734839689451
0,4.55,hot-cold,0.75,0.9729975643631478,0.75,0.75,0.6599506578947368,0.640625,1.2410105743381639,6.031873864220739,17.314231114075806,19.729982462948115,2.92160474700931,15.312995670193564,17.678422292344422
0,4.55,hot-cold,0.875,0.9811286256906512,0.8745888157894737,0.875,0.7099095394736842,0.700452302631579,1.4298146217037955,7.128992619100871,24.651412479735747,25.65046344685826,1.3259053686359157,22.876879548667517,23.786152925661707
0,4.55,local,0.125,0.688534213220977,0.1245888157894736,0.125,0.2999588815789473,0.1256167763157894,-37.93937135028027,42.2859806820346,-36.86214477084357,12.429758133318158,36.01573173260883,-38.66533981087243,12.386826876223733
0,4.55,local,0.25,0.8101496837832394,0.2491776315789473,0.25,0.4500411184210526,0.2444490131578947,-21.012948463828696,31.534493014093645,-22.190484156182567,19.785064648433924,34.352551341857186,-26.278097212826456,18.605241795283145
0,4.55,local,0.375,0.8953861319221376,0.375,0.375,0.5799753289473685,0.3963815789473684,-15.62908290242645,29.561697644342356,-8.939940211244624,19.565142758151023,26.16586984913124,-14.086686107220725,17.347544716137154
0,4.55,local,0.5,0.9402263612590168,0.4995888157894737,0.5,0.6899671052631579,0.4837582236842105,-8.360725410768922,25.891216800528515,-2.2652452374285925,22.38772077105623,24.106885923216804,-6.918525296687683,20.31201234965009
0,4.55,local,0.625,0.9646625693753672,0.6241776315789473,0.625,0.7900904605263158,0.5622944078947368,-4.8192655214944535,21.01810118913582,0.15544831245030144,23.109623372264597,22.98991249081508,-3.6855290949871833,21.372260690042346
0,4.55,local,0.75,0.9810954004928268,0.75,0.75,0.8700657894736842,0.6716694078947368,-2.760907965535775,20.346473335108094,7.594921917263553,26.855119361665423,20.843224034892238,4.597839868117182,24.86135461382296
0,4.55,local,0.875,0.9882511253506624,0.8745888157894737,0.875,0.9000822368421053,0.7243009868421053,-0.37706878203899175,17.65412882696126,15.293650376982226,29.608688099218693,16.89960408628748,13.443631814273138,28.494043341587204
