trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,exact_build_ms
13,1.07,local,1.0700000000000003,0.8346541197358666,0.6560375374863964,30.056717
13,1.07,hot-cold,1.07,0.4033391248062615,0.7623501067171041,29.905544
13,1.25,random,1.25,-0.0537212952169919,0.5074261325841805,29.790088
13,1.25,local,1.25,0.8012743929358006,0.48612859399627567,29.909582
13,1.25,hot-cold,1.25,0.2710788740755029,0.7762438859123484,29.83917
13,1.44,random,1.4400000000000002,-0.02136627056564355,0.5231856739638808,30.000391
13,1.44,local,1.4400000000000004,0.7752452938121336,0.44824300105184384,30.241431
13,1.44,hot-cold,1.4400000000000004,0.4166653542822807,0.8291505562886372,30.131066
13,2.48,random,2.48,-0.004986552120673799,0.5121048862716905,32.15727
13,2.48,local,2.48,0.606959189819883,0.6180864574151553,29.692877
13,2.48,hot-cold,2.4799999999999995,0.16657451997027659,0.8875728239345723,29.624949
13,3.3,random,3.3000000000000003,0.07586675134905936,0.3985163340801383,29.676556
13,3.3,local,3.3000000000000003,0.47635195894937843,0.3632425902620309,29.913169
13,3.3,hot-cold,3.3000000000000003,0.09165439198469955,0.9623053804404741,29.652451
13,4.55,random,4.550000000000001,-0.04123621607968653,0.6672601909356807,30.029836
13,4.55,local,4.55,0.7532954188724238,0.9722110701761135,30.0798
13,4.55,hot-cold,4.550000000000002,0.055697068076775484,0.9856534112936173,30.136646
13,9.19,random,9.190000000000001,-0.0036622608844396995,0.9021662531877902,29.889193
13,9.19,local,9.190000000000001,0.062474933592946785,0.11557238730179739,31.106458
13,9.19,hot-cold,9.190000000000003,0.030364459940334935,0.9865844617790663,30.075682
14,1.07,random,1.0700000000000003,-0.02404942548766551,0.5125839039677932,30.10085
14,1.07,local,1.0700000000000003,0.8599551914477132,0.24827683525178895,29.744093
14,1.07,hot-cold,1.0700000000000003,0.316427791810002,0.7732322649389443,29.935059
14,1.25,random,1.2500000000000002,-0.030136773317489346,0.560420231943992,30.177522
14,1.25,local,1.25,0.6693680468433741,0.5294638707417252,29.694149
14,1.25,hot-cold,1.2499999999999998,0.28028188672356863,0.7528397112948035,29.907127
14,1.44,random,1.4400000000000002,-0.1083201181890738,0.5486138134486467,29.875838
14,1.44,local,1.44,0.7921005679255423,0.7140862307592621,29.808622
14,1.44,hot-cold,1.4400000000000002,0.35869683220456183,0.8267274908010941,29.843127
14,2.48,random,2.479999999999999,-0.02502985253051672,0.5533932905583097,29.949626
14,2.48,local,2.4799999999999995,0.4705275041812168,0.7839189070754795,29.740836
14,2.48,hot-cold,2.4799999999999995,0.10255561677777401,0.8722835589533207,29.987688
14,3.3,random,3.3000000000000003,-0.013478329806744713,0.6735506179631252,30.065132
14,3.3,local,3.3000000000000003,0.6990761060289331,0.16537994863500072,29.972479
14,3.3,hot-cold,3.3000000000000003,0.15905186048326722,0.9093968378198496,29.849429
14,4.55,random,4.550000000000001,-0.029573877134163,0.4340540751418284,29.779178
14,4.55,local,4.55,0.5251017335479654,0.09603212249570782,29.667079
14,4.55,hot-cold,4.55,0.047433139931262615,0.9357199995292089,29.851022
14,9.19,random,9.19,-0.008070423242970977,0.7812174515608071,29.755002
14,9.19,local,9.19,0.10873377436876443,0.189471612940598,29.782454
14,9.19,hot-cold,9.190000000000003,-0.000669417960610088,0.9882131079223864,30.072676
15,1.07,random,1.0699999999999998,0.09273772266359834,0.46073361940565866,30.102071
15,1.07,local,1.07,0.8637213801031576,0.44557003952856833,29.797653
15,1.07,hot-cold,1.0699999999999998,0.34119405144329507,0.7702908260282869,29.759752
15,1.25,random,1.25,-0.045490365574141836,0.5119481938278974,29.676997
15,1.25,local,1.2499999999999998,0.7336311557281543,0.21616896073730069,29.827549
15,1.25,hot-cold,1.2499999999999998,0.44985590802139747,0.8011132470152494,29.640028
15,1.44,random,1.4400000000000002,-0.08730719304581527,0.46463439100480575,29.567283
15,1.44,local,1.4400000000000004,0.7145160165888608,0.6315102461744245,29.905023
15,1.44,hot-cold,1.4400000000000002,0.30333659957922193,0.8150898331445339,29.805046
15,2.48,random,2.4800000000000004,-0.03758746439343322,0.4956097213914004,29.826286
