case_id,repetition,runtime_ms
qwen05-000193,1,0.166732
qwen05-000193,2,0.1603
qwen05-000194,0,0.246952
qwen05-000194,1,0.233316
qwen05-000194,2,0.196337
qwen05-000195,0,0.46496
qwen05-000195,1,0.434964
qwen05-000195,2,0.396451
qwen05-000196,0,0.191408
qwen05-000196,1,0.172663
qwen05-000196,2,0.161512
qwen05-000197,0,0.113101
qwen05-000197,1,0.093244
qwen05-000197,2,0.093255
qwen05-000198,0,0.164808
qwen05-000198,1,0.153827
qwen05-000198,2,0.126406
qwen05-000199,0,0.140583
qwen05-000199,1,0.135143
qwen05-000199,2,0.129763
qwen05-000200,0,0.313426
qwen05-000200,1,0.238967
qwen05-000200,2,0.1976
qwen05-000201,0,0.329136
qwen05-000201,1,0.318936
qwen05-000201,2,0.287738
qwen05-000202,0,0.520904
qwen05-000202,1,0.462856
qwen05-000202,2,0.287698
qwen05-000203,0,0.175328
qwen05-000203,1,0.172242
qwen05-000203,2,0.26175
qwen05-000204,0,0.084739
qwen05-000204,1,0.070301
qwen05-000204,2,0.068178
qwen05-000205,0,0.120576
qwen05-000205,1,0.110256
qwen05-000205,2,0.106158
qwen05-000206,0,0.157284
qwen05-000206,1,0.145222
qwen05-000206,2,0.124593
qwen05-000207,0,0.13916
qwen05-000207,1,0.127198
qwen05-000207,2,0.125384
qwen05-000208,0,0.307155
qwen05-000208,1,0.28337
qwen05-000208,2,0.269434
qwen05-000209,0,0.14939
qwen05-000209,1,0.136806
qwen05-000209,2,0.138038
qwen05-000210,0,0.304189
qwen05-000210,1,0.278341
qwen05-000210,2,0.253805
qwen05-000211,0,0.120596
qwen05-000211,1,0.118883
qwen05-000211,2,0.077725
qwen05-000212,0,0.116368
qwen05-000212,1,0.108012
qwen05-000212,2,0.104305
qwen05-000213,0,0.287237
qwen05-000213,1,0.21369
qwen05-000213,2,0.194685
qwen05-000214,0,0.182481
qwen05-000214,1,0.162524
qwen05-000214,2,0.153146
qwen05-000215,0,0.201507
qwen05-000215,1,0.200054
qwen05-000215,2,0.193472
qwen05-000216,0,0.835923
qwen05-000216,1,0.536573
qwen05-000216,2,0.426538
qwen05-000217,0,0.224099
qwen05-000217,1,0.218359
qwen05-000217,2,0.276327
qwen05-000218,0,0.107762
qwen05-000218,1,0.110546
qwen05-000218,2,0.100558
qwen05-000219,0,0.130945
qwen05-000219,1,0.122399
qwen05-000219,2,0.120525
qwen05-000220,0,0.156202
qwen05-000220,1,0.134983
qwen05-000220,2,0.209692
qwen05-000221,0,0.205544
qwen05-000221,1,0.192971
qwen05-000221,2,0.194935
qwen05-000222,0,0.270846
qwen05-000222,1,0.25647
qwen05-000222,2,0.235801
qwen05-000223,0,0.317875
qwen05-000223,1,0.291916
qwen05-000223,2,0.293138
qwen05-000224,0,0.242183
qwen05-000224,1,0.23502
qwen05-000224,2,0.22989
qwen05-000225,0,0.094838
qwen05-000225,1,0.081863
qwen05-000225,2,0.180658
qwen05-000226,0,0.125686
qwen05-000226,1,0.118031
qwen05-000226,2,0.120555
qwen05-000227,0,0.12849
qwen05-000227,1,0.120345
qwen05-000227,2,0.11223
qwen05-000228,0,0.138409
qwen05-000228,1,0.124012
qwen05-000228,2,0.116799
qwen05-000229,0,0.32104
qwen05-000229,1,0.278551
qwen05-000229,2,0.270626
qwen05-000230,0,0.153457
qwen05-000230,1,0.151623
qwen05-000230,2,0.141435
qwen05-000231,0,0.430987
qwen05-000231,1,0.418463
qwen05-000231,2,0.322082
qwen05-000232,0,0.156903
qwen05-000232,1,0.10694
qwen05-000232,2,0.099646
qwen05-000233,0,0.130204
qwen05-000233,1,0.119183
qwen05-000233,2,0.116548
qwen05-000234,0,0.175248
qwen05-000234,1,0.146644
qwen05-000234,2,0.148558
qwen05-000235,0,0.339084
qwen05-000235,1,0.312464
qwen05-000235,2,0.282358
qwen05-000236,0,0.580515
qwen05-000236,1,0.544548
qwen05-000236,2,0.385691
qwen05-000237,0,0.494135
qwen05-000237,1,0.452787
qwen05-000237,2,0.448088
qwen05-000238,0,0.366716
qwen05-000238,1,0.297898
qwen05-000238,2,0.302365
qwen05-000239,0,0.088946
qwen05-000239,1,0.077154
qwen05-000239,2,0.075481
qwen05-000240,0,0.121988
qwen05-000240,1,0.111598
qwen05-000240,2,0.114935
qwen05-000241,0,0.209623
qwen05-000241,1,0.168465
qwen05-000241,2,0.158918
qwen05-000242,0,0.232535
qwen05-000242,1,0.219661
qwen05-000242,2,0.207958
qwen05-000243,0,0.530392
qwen05-000243,1,0.474988
qwen05-000243,2,0.467895
qwen05-000244,0,1.007965
qwen05-000244,1,0.920301
qwen05-000244,2,0.763417
qwen05-000245,0,0.328074
qwen05-000245,1,0.300422
qwen05-000245,2,0.291616
qwen05-000246,0,0.095178
qwen05-000246,1,0.078888
qwen05-000246,2,0.075081
qwen05-000247,0,0.126597
qwen05-000247,1,0.121748
qwen05-000247,2,0.115486
qwen05-000248,0,0.132658
qwen05-000248,1,0.122078
qwen05-000248,2,0.123792
qwen05-000249,0,0.150281
qwen05-000249,1,0.140243
qwen05-000249,2,0.132949
qwen05-000250,0,0.392283
qwen05-000250,1,0.369792
qwen05-000250,2,0.395039
qwen05-000251,0,0.177302
qwen05-000251,1,0.17635
qwen05-000251,2,0.158446
qwen05-000252,0,0.424053
qwen05-000252,1,0.365564
qwen05-000252,2,0.343993
qwen05-000253,0,0.084428
qwen05-000253,1,0.076343
qwen05-000253,2,0.073087
qwen05-000254,0,0.127639
qwen05-000254,1,0.110657
qwen05-000254,2,0.108042
qwen05-000255,0,0.188122
qwen05-000255,1,0.149038
qwen05-000255,2,0.140563
qwen05-000256,0,0.303187
qwen05-000256,1,0.270787
qwen05-000256,2,0.262621
qwen05-000257,0,0.439552
qwen05-000257,1,0.37973
qwen05-000257,2,0.391432
qwen05-000258,0,0.497491
qwen05-000258,1,0.454921
qwen05-000258,2,0.45482
qwen05-000259,0,0.403734
qwen05-000259,1,0.301454
qwen05-000259,2,0.291355
qwen05-000260,0,0.108262
qwen05-000260,1,0.082094
qwen05-000260,2,0.076543
qwen05-000261,0,0.130674
qwen05-000261,1,0.12313
qwen05-000261,2,0.116208
qwen05-000262,0,0.175037
qwen05-000262,1,0.154549
qwen05-000262,2,0.150151
qwen05-000263,0,0.377476
qwen05-000263,1,0.33669
qwen05-000263,2,0.29937
qwen05-000264,0,0.562342
qwen05-000264,1,0.481881
qwen05-000264,2,0.486921
qwen05-000265,0,0.864727
qwen05-000265,1,0.723182
qwen05-000265,2,0.991164
qwen05-000266,0,0.329867
qwen05-000266,1,0.29949
qwen05-000266,2,0.28854
qwen05-000267,0,0.092954
qwen05-000267,1,0.086472
qwen05-000267,2,0.075701
qwen05-000268,0,0.175158
qwen05-000268,1,0.152916
qwen05-000268,2,0.121557
qwen05-000269,0,0.153567
qwen05-000269,1,0.123151
qwen05-000269,2,0.129372
qwen05-000270,0,0.154378
qwen05-000270,1,0.132628
qwen05-000270,2,0.129182
qwen05-000271,0,0.359061
qwen05-000271,1,0.329056
qwen05-000271,2,0.308216
qwen05-000272,0,0.18173
qwen05-000272,1,0.161172
qwen05-000272,2,0.151884
qwen05-000273,0,0.426187
qwen05-000273,1,0.351968
qwen05-000273,2,0.275074
qwen05-000274,0,0.130744
qwen05-000274,1,0.118893
qwen05-000274,2,0.125084
qwen05-000275,0,0.141023
qwen05-000275,1,0.137928
qwen05-000275,2,0.127859
qwen05-000276,0,0.225602
qwen05-000276,1,0.234379
qwen05-000276,2,0.222606
qwen05-000277,0,0.644585
qwen05-000277,1,0.562773
qwen05-000277,2,0.534109
qwen05-000278,0,1.269264
qwen05-000278,1,1.295463
qwen05-000278,2,1.150802
qwen05-000279,0,1.14374
qwen05-000279,1,1.121768
qwen05-000279,2,1.100208
qwen05-000280,0,0.28866
qwen05-000280,1,0.291936
qwen05-000280,2,0.283019
qwen05-000281,0,0.156072
qwen05-000281,1,0.144551
qwen05-000281,2,0.147917
qwen05-000282,0,0.148628
qwen05-000282,1,0.153346
qwen05-000282,2,0.131977
qwen05-000283,0,0.346468
qwen05-000283,1,0.253764
qwen05-000283,2,0.253223
qwen05-000284,0,0.483244
qwen05-000284,1,0.407071
qwen05-000284,2,0.419775
qwen05-000285,0,0.985102
qwen05-000285,1,0.927816
qwen05-000285,2,0.978039
qwen05-000286,0,1.805617
qwen05-000286,1,1.717763
qwen05-000286,2,1.703647
qwen05-000287,0,0.286827
qwen05-000287,1,0.273622
qwen05-000287,2,0.261449
qwen05-000288,0,0.170008
qwen05-000288,1,0.161412
qwen05-000288,2,0.142767
qwen05-000289,0,0.143188
qwen05-000289,1,0.138128
qwen05-000289,2,0.128229
qwen05-000290,0,0.171971
qwen05-000290,1,0.155791
qwen05-000290,2,0.152435
qwen05-000291,0,0.206907
qwen05-000291,1,0.184625
qwen05-000291,2,0.182892
qwen05-000292,0,0.749221
qwen05-000292,1,0.701502
qwen05-000292,2,0.674101
qwen05-000293,0,0.279062
qwen05-000293,1,0.241943
qwen05-000293,2,0.234328
qwen05-000294,0,0.240821
qwen05-000294,1,0.248094
qwen05-000294,2,0.224209
qwen05-000295,0,0.103563
qwen05-000295,1,0.083386
qwen05-000295,2,0.078738
qwen05-000296,0,0.11768
qwen05-000296,1,0.123882
qwen05-000296,2,0.114454
qwen05-000297,0,0.138509
qwen05-000297,1,0.129572
qwen05-000297,2,0.136275
qwen05-000298,0,0.19224
qwen05-000298,1,0.191217
qwen05-000298,2,0.183083
qwen05-000299,0,0.219671
qwen05-000299,1,0.189875
qwen05-000299,2,0.178984
qwen05-000300,0,0.445363
qwen05-000300,1,0.40654
qwen05-000300,2,0.384089
qwen05-000301,0,0.227315
qwen05-000301,1,0.223728
qwen05-000301,2,0.218378
qwen05-000302,0,0.091761
qwen05-000302,1,0.084738
qwen05-000302,2,0.079298
qwen05-000303,0,0.16528
qwen05-000303,1,0.131877
qwen05-000303,2,0.115285
qwen05-000304,0,0.237314
qwen05-000304,1,0.154268
qwen05-000304,2,0.128671
qwen05-000305,0,0.265317
qwen05-000305,1,0.270746
qwen05-000305,2,0.228698
qwen05-000306,0,0.278761
qwen05-000306,1,0.23553
qwen05-000306,2,0.231563
qwen05-000307,0,0.337661
qwen05-000307,1,0.287207
qwen05-000307,2,0.274884
qwen05-000308,0,0.246782
qwen05-000308,1,0.239588
qwen05-000308,2,0.232304
qwen05-000309,0,0.089637
