model,shape,budget_index,policy,selected_method,calibration_cases,calibration_total_ms,calibration_relative_l2_error,calibration_importance_retention,paper_calibration_error
tiny11,2048x256,1,min_total_dispatch,tile8_ceil,18,0.5892163333333333,0.4837422917286555,0.5660693764120787,0.4350305050611496
tiny11,2048x256,1,error_guard_dispatch,paper,18,0.7291337777777778,0.4350305050611496,0.5911374359633563,0.4350305050611496
tiny11,2048x256,2,wave_dispatch,wave_k6,18,0.7139477222222221,0.2454141361845864,0.8141808095929937,0.24574849889096287
tiny11,2048x256,2,min_total_dispatch,tile8_ceil,18,0.6976183888888889,0.26862393009165925,0.8001365802037333,0.24574849889096287
tiny11,2048x256,2,error_guard_dispatch,wave_k6,18,0.7139477222222221,0.2454141361845864,0.8141808095929937,0.24574849889096287
tiny11,2048x5632,0,wave_dispatch,wave_k6,18,2.4378142777777776,0.6985989212989807,0.2733763758395697,0.6233774820963541
tiny11,2048x5632,0,min_total_dispatch,tile8_ceil,18,2.112640611111111,0.6377918124198914,0.29075744732626996,0.6233774820963541
tiny11,2048x5632,0,error_guard_dispatch,paper,18,2.4627413888888885,0.6233774820963541,0.2951585109326864,0.6233774820963541
tiny11,2048x5632,1,wave_dispatch,wave_k1,18,3.9417868333333335,0.5763364483912786,0.5071259236626213,0.45669081310431164
tiny11,2048x5632,1,min_total_dispatch,tile8_ceil,18,3.8675932222222227,0.4573619349135293,0.5435648498063638,0.45669081310431164
tiny11,2048x5632,1,error_guard_dispatch,tile8_ceil,18,3.8675932222222227,0.4573619349135293,0.5435648498063638,0.45669081310431164
tiny11,2048x5632,2,wave_dispatch,wave_k24,18,5.406549999999999,0.3034707026349174,0.7748257475144538,0.295017481678062
tiny11,2048x5632,2,min_total_dispatch,wave_k24,18,5.406549999999999,0.3034707026349174,0.7748257475144538,0.295017481678062
tiny11,2048x5632,2,error_guard_dispatch,tile8_ceil,18,5.489774555555555,0.2939608072241147,0.7803236250127993,0.295017481678062
tiny11,5632x2048,0,wave_dispatch,wave_k1,9,2.095396666666667,0.7783076133992937,0.25702621134452824,0.6117832329538133
tiny11,5632x2048,0,min_total_dispatch,tile8_ceil,9,2.0921814444444444,0.6238157782289717,0.28876352622831913,0.6117832329538133
tiny11,5632x2048,0,error_guard_dispatch,paper,9,2.840911,0.6117832329538133,0.2950618856922337,0.6117832329538133
tiny11,5632x2048,1,wave_dispatch,wave_k1,9,3.4794614444444445,0.6100952426592509,0.5056906438709743,0.43083307643731433
tiny11,5632x2048,1,min_total_dispatch,wave_k1,9,3.4794614444444445,0.6100952426592509,0.5056906438709743,0.43083307643731433
tiny11,5632x2048,1,error_guard_dispatch,paper,9,4.297224444444445,0.43083307643731433,0.5552472574010875,0.43083307643731433
tiny11,5632x2048,2,wave_dispatch,wave_k1,9,4.871845666666667,0.3677830878231261,0.7539796393982889,0.2692854520347383
tiny11,5632x2048,2,min_total_dispatch,wave_k1,9,4.871845666666667,0.3677830878231261,0.7539796393982889,0.2692854520347383
tiny11,5632x2048,2,error_guard_dispatch,tile8_ceil,9,5.030730888888889,0.27082178079419666,0.7898171940014365,0.2692854520347383
