model,prompt,situation,method,method_label,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
qwen05,test_short_korean,short,cell16,Cell-16,2,0.2,1.4655988216400146,0.62308269739151,13.894512176513672,0.0,4.304563045501709,16.230640411376953,11.926076889038086,168,0.19981454752953817,0
qwen05,test_short_korean,short,cell16,Cell-16,3,0.25,2.1384921073913574,0.5764632225036621,22.514684677124023,0.018518518656492233,4.304563045501709,25.06472396850586,20.760160446166992,168,0.25,0
qwen05,test_short_korean,short,cell16,Cell-16,4,0.3,1.893847107887268,0.586098313331604,11.83134937286377,0.0,4.304563045501709,14.38709545135498,10.08253288269043,168,0.3001854524704619,0
qwen05,test_short_korean,short,cell16,Cell-16,5,0.35,2.9054172039031982,0.5731407403945923,26.371389389038086,0.018518518656492233,4.304563045501709,28.998779296875,24.694215774536133,168,0.35037090494092366,0
qwen05,test_short_korean,short,cell16,Cell-16,6,0.4,1.6656845808029175,0.6028386354446411,10.811561584472656,0.03703703731298447,4.304563045501709,13.234487533569336,8.929924011230469,168,0.39962909505907634,0
qwen05,test_short_korean,short,cell16,Cell-16,7,0.45,1.2492334842681885,0.6083681583404541,13.089726448059082,0.0,4.304563045501709,15.833170890808105,11.528608322143555,168,0.4498145475295381,0
qwen05,test_short_korean,short,cell16,Cell-16,8,0.5,1.414767861366272,0.6077243089675903,13.996658325195312,0.0,4.304563045501709,16.732486724853516,12.427923202514648,168,0.5,0
qwen05,test_short_korean,short,cell16,Cell-16,9,0.55,1.3809863328933716,0.6225894689559937,14.821011543273926,0.0,4.304563045501709,16.738136291503906,12.433572769165039,168,0.550185452470462,0
qwen05,test_short_korean,short,cell16,Cell-16,10,0.6,1.201866865158081,0.7701785564422607,12.559053421020508,0.0,4.304563045501709,14.756242752075195,10.451679229736328,168,0.6003709049409238,0
qwen05,test_short_korean,short,cell16,Cell-16,11,0.65,1.1321256160736084,0.8330413103103638,10.403085708618164,0.0,4.304563045501709,12.667229652404785,8.362667083740234,168,0.6496290950590762,0
qwen05,test_short_korean,short,cell16,Cell-16,12,0.7,1.4208084344863892,0.616382360458374,12.960129737854004,0.07407407462596893,4.304563045501709,15.720609664916992,11.416046142578125,168,0.6998145475295381,0
qwen05,test_short_korean,short,cell16,Cell-16,13,0.75,1.0431768894195557,0.5770484209060669,7.292662143707275,0.09259259700775146,4.304563045501709,9.718021392822266,5.413458347320557,168,0.75,0
qwen05,test_short_korean,short,cell16,Cell-16,14,0.8,1.0739295482635498,0.6084744930267334,8.992807388305664,0.0,4.304563045501709,11.59174633026123,7.2871832847595215,168,0.8001854524704617,0
qwen05,test_short_korean,short,cell16,Cell-16,15,0.85,0.8683964610099792,0.3772571086883545,3.6592769622802734,0.1666666716337204,4.304563045501709,6.538293361663818,2.2337303161621094,168,0.8503709049409238,0
qwen05,test_short_korean,short,cell16,Cell-16,16,0.9,0.8820691704750061,0.44285595417022705,4.8694353103637695,0.12962962687015533,4.304563045501709,7.635895252227783,3.331332206726074,168,0.8996290950590762,0
qwen05,test_short_korean,short,cell16,Cell-16,17,0.95,0.8340176343917847,0.3788464665412903,4.697848796844482,0.12962962687015533,4.304563045501709,7.264899253845215,2.960336208343506,168,0.9498145475295383,0
qwen05,test_short_korean,short,cell32,Cell-32,0,0.1,1.2832667827606201,1.0756651163101196,18.115808486938477,0.0,4.304563045501709,20.364290237426758,16.05972671508789,168,0.10037090494092374,0
qwen05,test_short_korean,short,cell32,Cell-32,1,0.15,1.5152394771575928,0.5980037450790405,11.605315208435059,0.018518518656492233,4.304563045501709,14.275148391723633,9.970584869384766,168,0.14962909505907623,0
qwen05,test_short_korean,short,cell32,Cell-32,2,0.2,1.1728811264038086,0.7778677940368652,12.240466117858887,0.0,4.304563045501709,14.639450073242188,10.33488655090332,168,0.19981454752953817,0
qwen05,test_short_korean,short,cell32,Cell-32,3,0.25,1.1927703619003296,0.6455130577087402,10.634234428405762,0.0,4.304563045501709,12.845394134521484,8.540830612182617,168,0.25,0
qwen05,test_short_korean,short,cell32,Cell-32,4,0.3,1.758322834968567,0.5862489938735962,13.562248229980469,0.0,4.304563045501709,15.646751403808594,11.342187881469727,168,0.3001854524704619,0
qwen05,test_short_korean,short,cell32,Cell-32,5,0.35,1.5190199613571167,0.6169571876525879,15.470324516296387,0.018518518656492233,4.304563045501709,17.637493133544922,13.332929611206055,168,0.35037090494092366,0
