method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,projection_path_ms
paper,Paper,7,0.45,9,11.271714316474068,0.022750028098622945,10.277249548170301,1.341227286391788,0.44713818840933506,0,0.8074182222738205
paper,Paper,8,0.5,9,9.760278330908882,0.023306541869209843,8.60834370719062,1.3491777115397983,0.49998041979949875,0,0.8420936851199061
paper,Paper,9,0.55,9,8.893751197391087,0.03955048157109152,7.6661744647555885,1.1556299328804016,0.5481933323568662,0,0.8998858097560526
paper,Paper,10,0.6,9,8.557203663720024,0.0252768891967005,7.607950475480822,1.1380412644810147,0.5964945783187676,0,0.9594416399170533
paper,Paper,11,0.65,9,8.109722084469265,0.04509306595557262,7.033200449413723,1.0522314839892917,0.6488053471238975,0,1.00130078621569
paper,Paper,12,0.7,9,6.2026121616363525,0.09965566462940635,5.100098927815755,0.9312567379739549,0.6971577686098364,0,1.0494418918631163
paper,Paper,13,0.75,9,4.977282285690308,0.16028740877906478,3.933073149787055,0.8868155611885918,0.75,0,1.097121775215264
paper,Paper,14,0.8,9,4.588180859883626,0.19163215812295673,3.65949018796285,0.9119353095690409,0.7982129125573675,0,1.15093937809788
paper,Paper,15,0.85,9,2.9082143041822643,0.3195876632299688,2.06764288743337,0.7579998009734683,0.8465141585192689,0,1.2065837616333144
paper,Paper,16,0.9,9,2.117678185304006,0.4349854124916924,1.4589480426576402,0.66440482934316,0.8987661867228951,0,1.2779037964601727
paper,Paper,17,0.95,9,1.0912665377060573,0.5875511831707425,0.6467394696341621,0.4696333275900947,0.9471773488103374,0,1.3226917938091225
