trial,target_cv,spatial_mode,budget_fraction,method,affine_matched_ratio,method_lookup_over_affine,cover_lookup_over_affine,relative_rescale_correction,lookup_matched_ratio,factorization_error
0,1.25,local,0.625,dpr,1.0196954385211536,1.2836121622476058,1.1982919799080374,1.07120149660529,1.0922992798254474,0.0
0,1.25,local,0.625,top,3.5233367301048726,1.0342711202922097,1.2693405487732619,0.8148098012718241,2.8708493008704705,8.881784197001252e-16
0,1.25,local,0.75,paper,1.3227063390784306,1.011088661360466,1.2422365170435592,0.8139260499013425,1.0765851457455724,-4.440892098500626e-16
0,1.25,local,0.75,dpr,1.0052725248616898,1.2944032629009508,1.2643521528903836,1.0237679905411388,1.029165832723869,0.0
0,1.25,local,0.75,top,2.9844581126282783,1.029568055102211,1.3044303484795643,0.7892855730490087,2.355589731666575,1.3322676295501878e-15
0,1.25,local,0.875,paper,1.3338353765536095,1.0435554405037266,1.2888665600295535,0.8096691099502171,1.079965302154274,4.440892098500626e-16
0,1.25,local,0.875,dpr,1.0013858218657608,1.3164939472316584,1.2885818686682975,1.0216610828089696,1.0230769230769232,2.220446049250313e-16
0,1.25,local,0.875,top,2.137332977247219,1.0269351535175024,1.318927807193212,0.7786136192722374,1.664156565004364,2.220446049250313e-16
0,1.25,hot-cold,0.125,paper,1.236392741513842,1.0246554182768741,1.2673376424041736,0.8085102059566978,0.9996361500847224,-2.220446049250313e-16
0,1.25,hot-cold,0.125,dpr,1.0,1.2646932032818425,1.2646932032818425,1.0,1.0,0.0
0,1.25,hot-cold,0.125,top,19.42827539526156,0.936343309628583,1.2972083920958695,0.7218141012144972,14.023603142578455,1.7763568394002505e-15
0,1.25,hot-cold,0.25,paper,1.3598653053252343,1.0130013905910438,1.3095564311682586,0.7735454284221587,1.0519175902042384,4.440892098500626e-16
0,1.25,hot-cold,0.25,dpr,1.0,1.309787973869217,1.309787973869217,1.0,1.0,0.0
0,1.25,hot-cold,0.25,top,16.289722628347224,0.9871636734541439,1.3214066602853634,0.7470551671360289,12.169321460719493,5.329070518200751e-15
0,1.25,hot-cold,0.375,paper,1.24993355784192,1.080767983723812,1.3252961889849517,0.8154916559079336,1.019310386859402,-2.220446049250313e-16
0,1.25,hot-cold,0.375,dpr,1.0,1.3255427957029116,1.3255427957029116,1.0,1.0,0.0
0,1.25,hot-cold,0.375,top,13.956919002048371,0.9949442100443258,1.3313504540895043,0.7473195408377706,10.430278300120746,0.0
0,1.25,hot-cold,0.5,paper,1.294466520979444,1.0611374386704941,1.333117324959168,0.7959820330914954,1.0303720931380929,2.220446049250313e-16
0,1.25,hot-cold,0.5,dpr,1.0,1.3335631970935717,1.3335631970935717,1.0,1.0,0.0
0,1.25,hot-cold,0.5,top,11.647335848097956,0.9989922182101072,1.3370425449306713,0.7471656171284417,8.702488876846331,0.0
0,1.25,hot-cold,0.625,paper,1.3065353188291566,1.06865261478699,1.3379424221453993,0.7987284034789768,1.0435668692973084,2.220446049250313e-16
0,1.25,hot-cold,0.625,dpr,1.0,1.338422195205371,1.338422195205371,1.0,1.0,0.0
0,1.25,hot-cold,0.625,top,9.287276250253246,1.0035153929843088,1.3406640579376483,0.7485211429685246,6.951722633903993,0.0
0,1.25,hot-cold,0.75,paper,1.3330886265022903,1.0687407813071674,1.3409957257566059,0.7969755315246595,1.0624390166761415,4.440892098500626e-16
0,1.25,hot-cold,0.75,dpr,1.0,1.3416812466741148,1.3416812466741148,1.0,1.0,0.0
0,1.25,hot-cold,0.75,top,7.394694821155905,1.0145034577612477,1.3430490133283852,0.7553733688743601,5.585755538854319,-8.881784197001252e-16
0,1.25,hot-cold,0.875,paper,1.3230191072152182,1.0852248045321937,1.3433191549991792,0.8078681826976977,1.0688250418202887,0.0
0,1.25,hot-cold,0.875,dpr,1.0,1.3440188747855584,1.3440188747855584,1.0,1.0,0.0
0,1.25,hot-cold,0.875,top,4.997898030353883,1.0567017906639593,1.3448194628253767,0.7857573599090385,3.92713516142545,-4.440892098500626e-16
