n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,1,hot-cold,3.3,paper,0.95,0.9621263633731869,0.09284301616867197,240,3
256,2,random,3.3,supported,0.05,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.1,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.15,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.2,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.25,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.3,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.35,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.39999999999999997,0.40953586100879497,0.024697237082002586,56,1
256,2,random,3.3,supported,0.44999999999999996,0.7256848557455708,0.04866501236769185,109,2
256,2,random,3.3,supported,0.49999999999999994,0.7256848557455708,0.04866501236769185,109,2
256,2,random,3.3,supported,0.5499999999999999,0.7256848557455708,0.04866501236769185,109,2
256,2,random,3.3,supported,0.6,0.7256848557455708,0.04866501236769185,109,2
256,2,random,3.3,supported,0.65,0.7256848557455708,0.04866501236769185,109,2
256,2,random,3.3,supported,0.7,0.7256848557455708,0.04866501236769185,109,2
256,2,random,3.3,supported,0.75,0.8224490025044987,0.05758155564293813,177,1
256,2,random,3.3,supported,0.7999999999999999,0.8224490025044987,0.05758155564293813,177,1
256,2,random,3.3,supported,0.85,0.9056288944764668,0.06836048086815164,190,2
256,2,random,3.3,supported,0.9,0.9056288944764668,0.06836048086815164,190,2
256,2,random,3.3,supported,0.95,0.9714750676423911,0.07812511882835607,222,2
256,2,random,3.3,supported,0.99,0.9952168109283346,0.0819771010660004,246,2
256,2,random,3.3,paper,0.05,0.28215154158093053,0.025079080953560973,12,2
256,2,random,3.3,paper,0.1,0.33200305835531957,0.027996928138814277,24,2
256,2,random,3.3,paper,0.15,0.32039180956145447,0.019834158439913745,36,1
256,2,random,3.3,paper,0.2,0.44447804960745907,0.033832622509320884,48,2
256,2,random,3.3,paper,0.25,0.41782011598423346,0.025669852810420352,60,1
256,2,random,3.3,paper,0.3,0.5419063560302381,0.03966831687982749,72,2
256,2,random,3.3,paper,0.35,0.6520957974247271,0.04404508765770744,90,2
256,2,random,3.3,paper,0.39999999999999997,0.7161661215814105,0.05804355172711458,102,3
256,2,random,3.3,paper,0.44999999999999996,0.7279796441247305,0.049880782028214055,114,2
256,2,random,3.3,paper,0.49999999999999994,0.7902496170133877,0.06387924609762119,126,3
256,2,random,3.3,paper,0.5499999999999999,0.8185815140338472,0.07787771016702832,138,4
256,2,random,3.3,paper,0.6,0.8513030582844575,0.08079555735228162,150,4
256,2,random,3.3,paper,0.65,0.8625341514943787,0.0726327876533811,162,3
256,2,random,3.3,paper,0.7,0.8908660485148384,0.08663125172278824,174,4
256,2,random,3.3,paper,0.75,0.9367133617918378,0.10208863938482203,192,5
256,2,random,3.3,paper,0.7999999999999999,0.9488333674278588,0.0939258696859215,204,4
256,2,random,3.3,paper,0.85,0.9500079984928684,0.08576309998702096,216,3
256,2,random,3.3,paper,0.9,0.9730977906751721,0.08868094717227427,228,3
256,2,random,3.3,paper,0.95,0.991880544510401,0.09159879435752757,240,3
256,2,local,3.3,supported,0.05,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.1,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.15,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.2,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.25,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.3,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.35,0.39371586630822963,0.01302584834098937,8,1
256,2,local,3.3,supported,0.39999999999999997,0.658076833680578,0.028483236003023164,26,2
256,2,local,3.3,supported,0.44999999999999996,0.658076833680578,0.028483236003023164,26,2
256,2,local,3.3,supported,0.49999999999999994,0.658076833680578,0.028483236003023164,26,2
256,2,local,3.3,supported,0.5499999999999999,0.658076833680578,0.028483236003023164,26,2
256,2,local,3.3,supported,0.6,0.658076833680578,0.028483236003023164,26,2
256,2,local,3.3,supported,0.65,0.658076833680578,0.028483236003023164,26,2
256,2,local,3.3,supported,0.7,0.7810327708442011,0.0362641618303653,58,2
256,2,local,3.3,supported,0.75,0.7810327708442011,0.0362641618303653,58,2
