trial,target_cv,spatial_mode,coverage_target,target_importance,single_importance,single_overshoot,single_rows,single_chunks,single_aff_ms,single_runtime_ms,quant_importance,quant_overshoot,quant_rows,quant_chunks,quant_aff_ms,quant_solve_ms,single_extra_vs_quant_pct,quant_beats_single,quant_build_ms,quant_single_query_ms,quant_amortized_ms,quant_full_mask
0,1.25,hot-cold,0.5,0.5,0.5001507581119311,0.0001507581119311041,1152,1,0.29286334500052646,0.902837,0.5001507581119311,0.0001507581119311041,1152,1,0.29286334500052646,1.599618,0.0,False,43.644825,45.244443,4.7171055,False
0,1.25,hot-cold,0.7,0.7,0.7000124365043473,1.2436504347346222e-05,1941,1,0.4859097688703485,0.781129,0.7002209363541906,0.00022093635419062618,1942,1,0.4861544411439478,1.479945,-0.050328095949014884,False,43.644825,45.12477,4.5974325,False
0,1.25,hot-cold,0.9,0.9,0.9001647875773064,0.00016478757730642446,3338,1,0.8277169350885252,0.656175,0.9005206088470332,0.0005206088470331993,3341,1,0.8284509519093229,1.424912,-0.08860111984977381,False,43.644825,45.069736999999996,4.5423995,False
0,1.25,hot-cold,0.95,0.95,0.950078032880878,7.803288087804283e-05,3944,1,0.9759883328896812,0.619738,0.9501967041369678,0.00019670413696781797,3946,1,0.9764776774368797,1.277035,-0.050113234383708516,False,43.644825,44.921859999999995,4.3945225,False
0,1.25,hot-cold,0.99,0.99,0.9900873495880982,8.73495880981956e-05,4627,1,1.143099495757981,0.586586,0.9902370190565548,0.00023701905655482136,4633,1,1.1445675293995765,1.261156,-0.12826098975267097,False,43.644825,44.905981,4.3786435,False
0,1.44,random,0.1,0.1,0.10002063804191008,2.063804191007601e-05,409,1,0.11107184571627077,1.432327,0.1010171566312701,0.001017156631270097,413,1,0.11205053481066783,1.667195,-0.8734354512905829,False,35.421351,37.088546,4.1972915,False
0,1.44,random,0.3,0.3,0.30041461735870745,0.00041461735870745864,1371,1,0.34644657291876607,1.230399,0.300460795950088,0.0004607959500880221,1261,2,0.330533508637017,1.31151,4.814357354377741,True,35.421351,36.732861,3.8416065,False
0,1.44,random,0.5,0.5,0.5001891087057685,0.0001891087057684926,2323,1,0.5793745773852687,1.055372,0.5006744529641932,0.0006744529641932173,2166,4,0.5739636878726949,1.51443,0.9427233162830007,True,35.421351,36.935781,4.0445265,False
0,1.44,random,0.7,0.7,0.7001337873332925,0.00013378733329250103,3357,1,0.8323657082869113,0.942281,0.7002517244947364,0.0002517244947364272,3220,3,0.8208473784321523,1.527534,1.403224296916128,True,35.421351,36.948885000000004,4.0576305,False
0,1.44,random,0.9,0.9,0.9004414507839587,0.00044145078395863013,4379,1,1.0824207719053625,0.685871,0.9007780959328592,0.0007780959328591575,4304,2,1.0750712371995879,1.787509,0.6836323446731907,True,35.421351,37.20886,4.3176055,False
0,1.44,random,0.95,0.95,0.9500033503603713,3.350360371356942e-06,4614,1,1.1399187562011903,0.644764,0.9505984045797543,0.0005984045797543525,4563,2,1.138441356061798,1.303446,0.12977393446975682,True,35.421351,36.724797,3.8335425,False
0,1.44,random,0.99,0.99,0.9900930655589923,9.306555899235569e-05,4809,1,1.1876298495530475,0.605081,0.9903700761588998,0.0003700761588998347,4813,1,1.1886085386474445,1.286374,-0.08233905971353206,False,35.421351,36.707725,3.8164705,False
0,1.44,local,0.1,0.1,0.10025865132092543,0.00025865132092542376,186,1,0.05650992870363412,1.44509,0.10113573217044323,0.0011357321704432294,69,2,0.038884158506690206,1.71775,45.32892281547334,True,31.670232,33.387982,3.9799094285714287,False
