scope,n,spatial_mode,target_cv,budget_fraction,cases,affine_latency_ratio_mean,affine_latency_ratio_median,affine_saving_pct_mean,lookup_latency_ratio_mean,lookup_saving_pct_mean,affine_strict_win_rate,lookup_strict_win_rate,paper_chunks_mean,refined_chunks_mean,refined_row_ratio_mean,post_runtime_ms_mean,total_runtime_ms_mean
N-ordering-CV-budget,4864,hot-cold,1.44,0.125,20,0.8655843603604817,0.860130182548366,13.441563963951817,0.986679328882666,1.332067111733419,1.0,0.65,5.45,2.65,1.0175742574257427,0.39024384999999995,3.4740363000000003
N-ordering-CV-budget,4864,hot-cold,1.44,0.25,20,0.8132854549735186,0.8165409888612795,18.671454502648135,0.9858013889778988,1.4198611022101326,1.0,0.7,9.25,2.4,1.0023102310231027,0.7524238,5.09307765
N-ordering-CV-budget,4864,hot-cold,1.44,0.375,20,0.7986814644159383,0.789462981869951,20.13185355840616,0.9705186731827246,2.948132681727564,1.0,1.0,12.45,2.05,0.9915021929824561,1.0144886999999998,6.24577965
N-ordering-CV-budget,4864,hot-cold,1.44,0.5,20,0.7880703145602543,0.7921673676552039,21.192968543974565,0.9619819864115753,3.8018013588424866,1.0,1.0,16.35,2.4,0.9811111111111112,1.3532028500000002,8.378564800000001
N-ordering-CV-budget,4864,hot-cold,1.44,0.625,20,0.782666885428858,0.7785939067072014,21.733311457114198,0.955963185842825,4.403681415717489,1.0,1.0,19.1,1.95,0.9737812911725955,1.7775005500000003,10.44635885
N-ordering-CV-budget,4864,hot-cold,1.44,0.75,20,0.7770724338667454,0.7725731139939145,22.292756613325466,0.9478198824166689,5.218011758333111,1.0,1.0,22.3,2.1,0.9632127192982454,2.10220725,11.98711055
N-ordering-CV-budget,4864,hot-cold,1.44,0.875,20,0.7721010545315661,0.7657754300289656,22.78989454684338,0.935482812215246,6.451718778475413,1.0,1.0,24.3,1.45,0.9535260930888574,2.4486403,14.039892849999998
N-ordering-CV-budget,4864,hot-cold,2.48,0.125,20,0.8335486374514239,0.8270454934884619,16.645136254857622,0.9819690141895434,1.8030985810456663,1.0,0.8,6.45,2.65,1.0344059405940593,0.3983421,3.5244422500000008
N-ordering-CV-budget,4864,hot-cold,2.48,0.25,20,0.781754044345389,0.772835229248974,21.824595565461113,0.968333934785355,3.16660652146448,1.0,0.9,11.65,3.05,1.0046617161716171,0.710763,5.27353135
N-ordering-CV-budget,4864,hot-cold,2.48,0.375,20,0.7629317176804025,0.755645197430902,23.706828231959758,0.9483943767836841,5.160562321631613,1.0,1.0,15.95,2.9,0.9896381578947369,1.0467165500000002,6.538504950000001
N-ordering-CV-budget,4864,hot-cold,2.48,0.5,20,0.7406806750717029,0.7277888368834624,25.931932492829713,0.9319260613104301,6.80739386895697,1.0,1.0,19.9,2.3,0.9691769547325103,1.4061542999999999,8.6884794
N-ordering-CV-budget,4864,hot-cold,2.48,0.625,20,0.7302553796017988,0.7195684182178252,26.97446203982013,0.9171280183473115,8.287198165268851,1.0,1.0,23.6,1.95,0.9544137022397893,1.82493435,10.716020250000003
N-ordering-CV-budget,4864,hot-cold,2.48,0.75,20,0.7219066735972612,0.7153366143485379,27.809332640273873,0.9016494883116524,9.83505116883477,1.0,1.0,27.1,1.85,0.9384594298245614,2.2542130000000005,12.426547900000001
N-ordering-CV-budget,4864,hot-cold,2.48,0.875,20,0.7071884034973841,0.7055358406678728,29.28115965026158,0.8837671694700557,11.623283052994424,1.0,1.0,30.6,1.4,0.9197696285848613,2.6504416,14.583184
N-ordering-CV-budget,4864,hot-cold,3.3,0.125,20,0.8357012395937005,0.8421398751840312,16.42987604062993,0.9630249993296788,3.697500067032105,1.0,1.0,7.25,3.55,1.021039603960396,0.40175584999999997,3.572956799999999
N-ordering-CV-budget,4864,hot-cold,3.3,0.25,20,0.7587409790317904,0.7552482138960686,24.12590209682096,0.9487580440872503,5.124195591274973,1.0,0.95,12.5,2.7,1.0087871287128711,0.71599885,5.3829306
N-ordering-CV-budget,4864,hot-cold,3.3,0.375,20,0.7385734210018609,0.7376650270629437,26.142657899813912,0.9360859934984769,6.391400650152326,1.0,1.0,17.2,2.55,0.9861567982456142,1.0561922,6.59763395
